Title,Code,Demographic Group,Population,Period,Estimate,Unit,Lower CI,Upper CI,SE,Locality
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Family income ^,400 plus,2018,0.4,percent,0.3,0.6,0.079,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Family income ^,400 plus,2019,0.3,percent,0.2,0.5,0.057,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Health insurance status (12-64 years) ^,Insured,2018,0.8,percent,0.6,0.9,0.063,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Health insurance status (12-64 years) ^,Insured,2019,0.6,percent,0.5,0.7,0.048,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Health insurance status (12-64 years) ^,Insured: Private,2018,0.4,percent,0.3,0.5,0.047,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Health insurance status (12-64 years) ^,Insured: Private,2019,0.4,percent,0.3,0.4,0.04,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Health insurance status (12-64 years) ^,Insured: Public,2018,1.7,percent,1.4,2,0.162,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Health insurance status (12-64 years) ^,Insured: Public,2019,1.3,percent,1.1,1.6,0.131,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Health insurance status (12-64 years) ^,Uninsured,2018,1.6,percent,1.2,2.1,0.231,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Health insurance status (12-64 years) ^,Uninsured,2019,1.1,percent,0.8,1.4,0.154,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Geographic location ^,Metropolitan,2018,0.7,percent,0.6,0.9,0.064,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Geographic location ^,Metropolitan,2019,0.6,percent,0.5,0.7,0.045,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Geographic location ^,Non-metropolitan,2018,0.8,percent,0.6,1,0.103,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Geographic location ^,Non-metropolitan,2019,0.6,percent,0.4,0.8,0.102,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Marital status (18 years and over) ^,Married/Cohabiting partner,2018,0.4,percent,0.3,0.5,0.053,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Marital status (18 years and over) ^,Married/Cohabiting partner,2019,0.4,percent,0.3,0.5,0.056,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Marital status (18 years and over) ^,"Divorced, separated, widowed",2018,1,percent,0.8,1.4,0.157,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Marital status (18 years and over) ^,"Divorced, separated, widowed",2019,0.6,percent,0.4,0.8,0.101,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Marital status (18 years and over) ^,Never married,2018,1.3,percent,1,1.6,0.148,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Marital status (18 years and over) ^,Never married,2019,1,percent,0.9,1.3,0.099,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Country of birth ^,US,2018,0.8,percent,0.7,1,0.067,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Country of birth ^,US,2019,0.7,percent,0.6,0.8,0.047,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Country of birth ^,Outside US,2018,0.2,percent,0.1,0.4,0.055,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Country of birth ^,Outside US,2019,0.2,percent,0.1,0.4,0.074,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Veteran status (20 years and over) ^,Veteran,2018,0.4,percent,0.2,1.1,0.2,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Veteran status (20 years and over) ^,Veteran,2019,0.7,percent,0.3,1.3,0.23,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Veteran status (20 years and over) ^,Non-veteran,2018,0.8,percent,0.7,0.9,0.066,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Veteran status (20 years and over) ^,Non-veteran,2019,0.6,percent,0.5,0.7,0.047,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,Straight,2018,0.7,percent,0.6,0.9,0.065,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,Straight,2019,0.5,percent,0.5,0.6,0.045,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,"Straight: Straight, Male",2018,0.9,percent,0.7,1.1,0.105,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,"Straight: Straight, Male",2019,0.7,percent,0.6,0.9,0.078,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,"Straight: Straight, Female",2018,0.6,percent,0.5,0.7,0.066,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,"Straight: Straight, Female",2019,0.4,percent,0.3,0.5,0.048,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,Gay/Lesbian,2018,0.7,percent,0.4,1.3,0.211,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,Gay/Lesbian,2019,1.5,percent,0.7,3.1,0.556,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,"Gay/Lesbian: Gay, Male",2018,0.5,percent,0.2,1.5,0.273,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,"Gay/Lesbian: Gay, Male",2019,0.5,percent,0.2,1.6,0.294,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,"Gay/Lesbian: Gay/Lesbian, Female",2018,0.9,percent,0.4,2.2,0.403,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,"Gay/Lesbian: Gay/Lesbian, Female",2019,2.7,percent,1.2,6.4,1.196,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,Bisexual,2018,2.2,percent,1.5,3.2,0.419,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,Bisexual,2019,2,percent,1.4,2.9,0.364,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,"Bisexual: Bisexual, Male",2018,1.3,percent,0.5,3.3,0.625,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,"Bisexual: Bisexual, Male",2019,1.3,percent,0.5,3.4,0.635,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,"Bisexual: Bisexual, Female",2018,2.6,percent,1.7,3.9,0.536,United States
Reduce the proportion of people who had opioid use disorder in the past year - SU-18,SU-18,Sexual orientation (18 years and over) ^,"Bisexual: Bisexual, Female",2019,2.2,percent,1.5,3.3,0.44,United States
