CDM,MunD,Cod,Desc,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez,Total
790,ARCO IRIS                     ,6920-1,"Deixar de efetuar registro do veiculo em 30 dias, qdo for transf a propriedade",0,0,0,0,0,0,0,0,1,0,0,0,1
790,ARCO IRIS                     ,7340-0,Dirigir o veic usando calcado que n se firme nos pes/comprometa utiliz pedais,0,0,0,0,0,1,1,1,1,0,0,0,4
790,ARCO IRIS                     ,7366-2,Dirigir veiculo utilizando-se de telefone celular,1,0,0,0,0,0,2,0,0,0,0,0,3
790,ARCO IRIS                     ,7579-0,"Rec sub test, ex clin, peric ou proc q perm cert infl alc/sub psic for art. 277",2,0,0,0,0,0,2,2,0,0,0,0,6
790,ARCO IRIS                     ,7684-2,NULL,0,0,0,0,1,1,3,1,1,0,0,0,7
792,BREJO ALEGRE                  ,5010-0,Dirigir veiculo sem possuir CNH/PPD/ACC,0,1,0,1,0,0,0,0,2,0,0,0,4
792,BREJO ALEGRE                  ,5045-0,Dirigir veiculo com validade de CNH/PPD vencida ha mais de 30 dias,0,0,0,0,0,0,0,0,2,0,0,0,2
792,BREJO ALEGRE                  ,5185-1,Deixar o condutor de usar o cinto seguranca,0,0,0,0,1,1,2,0,1,0,0,0,5
792,BREJO ALEGRE                  ,5835-0,Desobedecer as ordens emanadas da autorid compet de transito ou de seus agentes,0,0,0,0,0,0,2,0,2,0,0,0,4
792,BREJO ALEGRE                  ,5843-1,"Deixar de indicar c/ antec, med gesto de braco/luz indicadora, inicio da marcha",0,0,0,0,2,0,0,0,0,0,0,0,2
792,BREJO ALEGRE                  ,6530-0,Usar no veiculo equip c/ som em volume/frequencia nao autorizados pelo Contran,2,0,1,2,4,3,6,5,0,0,0,0,24
792,BREJO ALEGRE                  ,6599-2,Conduzir o veiculo registrado que nao esteja devidamente licenciado,0,0,1,1,0,0,0,0,0,0,0,0,3
792,BREJO ALEGRE                  ,6726-1,"Conduzir o veiculo em mau estado de conservacao, comprometendo a seguranca",0,0,1,0,0,0,0,0,1,0,0,0,2
792,BREJO ALEGRE                  ,7048-1,"Conduzir motocicleta, motoneta e ciclomotor transportando passageiro s/ capacete",0,0,0,0,1,0,0,0,0,0,0,0,1
792,BREJO ALEGRE                  ,7056-1,Conduzir motoc/moton/ciclomotor fazendo malabarismo/equilibrando-se em uma roda,0,2,0,0,0,0,2,0,2,0,0,0,6
792,BREJO ALEGRE                  ,7366-2,Dirigir veiculo utilizando-se de telefone celular,0,0,0,0,0,1,0,0,0,0,0,0,1
792,BREJO ALEGRE                  ,7633-1,Dirigir veiculo segurando telefone celular,0,0,0,0,0,0,0,1,0,0,0,0,1
792,BREJO ALEGRE                  ,7633-2,Dirigir veiculo manuseando telefone celular,0,0,0,0,1,0,0,0,1,0,0,0,2
792,BREJO ALEGRE                  ,7684-1,NULL,0,0,0,0,0,0,0,0,1,0,0,0,1
794,CANAS                         ,5010-0,Dirigir veiculo sem possuir CNH/PPD/ACC,0,0,0,2,1,1,0,1,1,0,0,0,7
794,CANAS                         ,5118-0,Permitir posse/conducao do veiculo a pessoa sem CNH/PPD/ACC,0,0,0,1,0,0,0,1,0,0,0,0,3
794,CANAS                         ,5185-1,Deixar o condutor de usar o cinto seguranca,0,1,0,0,0,0,0,0,0,0,0,0,1
794,CANAS                         ,5193-0,Transportar crianca sem observancia das normas de seguranca estabelecidas p/ CTB,0,0,0,0,2,0,0,0,0,0,0,0,2
794,CANAS                         ,5207-0,Dirigir sem atencao ou sem os cuidados indispensaveis a seguranca,0,0,0,0,0,0,0,1,0,0,0,0,1
794,CANAS                         ,5274-1,Utiliz veic demonst/exibir manobra perigosa mediante arrancada brusca,0,0,0,0,0,0,0,0,0,0,0,0,1
794,CANAS                         ,6599-2,Conduzir o veiculo registrado que nao esteja devidamente licenciado,1,0,0,0,0,0,0,0,1,0,0,0,2
794,CANAS                         ,6637-1,Conduzir o veiculo sem equipamento obrigatorio,0,0,0,0,1,0,0,0,0,0,0,0,1
794,CANAS                         ,6726-1,"Conduzir o veiculo em mau estado de conservacao, comprometendo a seguranca",0,0,0,0,2,0,0,0,0,0,0,0,2
794,CANAS                         ,7340-0,Dirigir o veic usando calcado que n se firme nos pes/comprometa utiliz pedais,0,0,0,0,1,0,0,1,0,0,0,0,2
794,CANAS                         ,7579-0,"Rec sub test, ex clin, peric ou proc q perm cert infl alc/sub psic for art. 277",0,0,0,0,1,0,0,0,0,0,0,0,1
794,CANAS                         ,7633-1,Dirigir veiculo segurando telefone celular,0,0,0,0,0,0,0,1,1,0,0,0,2
796,FERNAO                        ,5010-0,Dirigir veiculo sem possuir CNH/PPD/ACC,1,0,2,1,0,0,0,2,0,0,0,0,6
796,FERNAO                        ,5029-2,Dirigir veiculo com CNH/PPD/ACC com suspensao do direito de dirigir,1,1,0,0,0,0,1,0,0,0,0,0,3
796,FERNAO                        ,5169-1,Dirigir sob a influencia de alcool,1,0,0,0,0,0,0,0,0,0,0,0,1
796,FERNAO                        ,5185-1,Deixar o condutor de usar o cinto seguranca,0,1,0,0,0,0,0,1,0,0,0,0,2
796,FERNAO                        ,5207-0,Dirigir sem atencao ou sem os cuidados indispensaveis a seguranca,0,0,1,0,0,0,0,0,0,0,0,0,1
796,FERNAO                        ,5274-1,Utiliz veic demonst/exibir manobra perigosa mediante arrancada brusca,1,0,0,0,0,0,0,0,0,0,0,0,1
796,FERNAO                        ,5525-0,Estacionar na contramao de direcao,0,0,0,0,0,0,0,0,2,0,0,0,2
796,FERNAO                        ,5967-0,"Ultrapassar pela contramao linha de divisao de fluxos opostos, continua amarela",0,1,0,0,0,0,0,0,1,0,0,0,2
796,FERNAO                        ,6530-0,Usar no veiculo equip c/ som em volume/frequencia nao autorizados pelo Contran,0,0,0,0,0,1,0,0,0,0,0,0,1
796,FERNAO                        ,6556-1,Conduzir o veiculo com o lacre de identificacao violado/falsificado,1,0,0,1,0,0,0,0,0,0,0,0,2
796,FERNAO                        ,6599-2,Conduzir o veiculo registrado que nao esteja devidamente licenciado,1,0,0,1,0,0,0,1,0,0,0,0,3
796,FERNAO                        ,6602-0,Conduzir o veiculo com qualquer uma das placas sem legibilidade e visibilidade,0,0,0,0,1,0,0,0,0,0,0,0,1
796,FERNAO                        ,6637-2,Conduzir o veiculo com equipamento obrigatorio ineficiente/inoperante,0,0,0,0,1,0,0,0,0,0,0,0,1
796,FERNAO                        ,6726-1,"Conduzir o veiculo em mau estado de conservacao, comprometendo a seguranca",0,0,0,1,1,0,1,1,0,0,0,0,4
796,FERNAO                        ,7579-0,"Rec sub test, ex clin, peric ou proc q perm cert infl alc/sub psic for art. 277",1,0,0,0,0,0,0,0,0,0,0,0,1
796,FERNAO                        ,7633-1,Dirigir veiculo segurando telefone celular,0,0,0,0,0,0,0,0,1,0,0,0,1
796,FERNAO                        ,7633-2,Dirigir veiculo manuseando telefone celular,0,0,1,0,0,1,0,1,0,0,0,0,3
798,GAVIAO PEIXOTO                ,5010-0,Dirigir veiculo sem possuir CNH/PPD/ACC,0,0,0,0,2,0,0,0,0,0,0,0,2
798,GAVIAO PEIXOTO                ,5045-0,Dirigir veiculo com validade de CNH/PPD vencida ha mais de 30 dias,0,0,0,0,0,0,0,0,1,0,0,0,1
798,GAVIAO PEIXOTO                ,5061-0,Entregar veiculo a pessoa sem CNH/PPD/ACC,0,0,0,0,1,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,5169-1,Dirigir sob a influencia de alcool,0,0,0,0,0,0,0,0,2,0,0,0,2
798,GAVIAO PEIXOTO                ,5185-1,Deixar o condutor de usar o cinto seguranca,0,1,0,1,2,1,0,0,0,0,0,0,5
798,GAVIAO PEIXOTO                ,5193-0,Transportar crianca sem observancia das normas de seguranca estabelecidas p/ CTB,1,0,0,0,0,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,5207-0,Dirigir sem atencao ou sem os cuidados indispensaveis a seguranca,0,1,0,0,0,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,5215-2,Dirigir ameacando os demais veiculos,0,0,0,0,1,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,5274-2,Utiliz veic dem/exibir manob perig med derrap/frenag c/desliz/arrast pneus,0,0,0,0,1,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,5410-0,Estacionar em desacordo com as posicoes estabelecidas no CTB,0,0,0,0,0,0,0,1,0,0,0,0,1
798,GAVIAO PEIXOTO                ,5720-0,Transitar pela contramao de direcao em via com duplo sentido de circulacao,0,0,0,0,1,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,5738-0,Transitar pela contramao de direcao em via c/ sinalizacao de regul sentido unico,0,1,0,0,3,1,0,0,0,0,0,0,5
798,GAVIAO PEIXOTO                ,5746-1,Transitar em local/horario nao permitido pela regul estabelecida p/ autoridade,1,0,0,0,0,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,5746-3,Transitar em local/horario nao permitido pela regulamentacao - caminhao,6,0,0,0,2,3,0,3,0,0,0,0,14
798,GAVIAO PEIXOTO                ,5835-0,Desobedecer as ordens emanadas da autorid compet de transito ou de seus agentes,0,0,0,0,1,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,5843-2,"Deixar de indicar c/ antec, med gesto de braco/luz indicadora, manobra de parar",0,0,0,0,1,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,6050-1,Avancar o sinal vermelho do semaforo,0,0,0,0,1,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,6050-2,Avancar o sinal de parada obrigatoria,0,0,0,0,3,0,0,0,0,0,0,0,3
798,GAVIAO PEIXOTO                ,6530-0,Usar no veiculo equip c/ som em volume/frequencia nao autorizados pelo Contran,0,0,0,1,0,0,0,1,0,0,0,0,2
798,GAVIAO PEIXOTO                ,6599-2,Conduzir o veiculo registrado que nao esteja devidamente licenciado,1,0,0,0,1,0,0,0,3,0,0,0,5
798,GAVIAO PEIXOTO                ,6602-0,Conduzir o veiculo com qualquer uma das placas sem legibilidade e visibilidade,0,0,0,0,0,0,0,1,0,0,0,0,1
798,GAVIAO PEIXOTO                ,6637-2,Conduzir o veiculo com equipamento obrigatorio ineficiente/inoperante,0,0,0,0,1,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,6726-1,"Conduzir o veiculo em mau estado de conservacao, comprometendo a seguranca",1,1,0,0,0,0,1,0,1,0,0,0,4
798,GAVIAO PEIXOTO                ,7030-1,"Conduzir motocicleta, motoneta e ciclomotor sem capacete de seguranca",0,0,0,0,1,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,7048-3,Conduzir motocicleta/motoneta/ciclomotor transportando pas. fora do assento,1,0,0,0,0,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,7072-1,Conduzir motocicleta/motoneta/ciclomotor transportando crianca menor de 7 anos,1,0,0,0,0,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,7340-0,Dirigir o veic usando calcado que n se firme nos pes/comprometa utiliz pedais,0,1,0,0,0,0,0,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,7366-2,Dirigir veiculo utilizando-se de telefone celular,0,0,0,0,0,0,0,1,0,0,0,0,1
798,GAVIAO PEIXOTO                ,7579-0,"Rec sub test, ex clin, peric ou proc q perm cert infl alc/sub psic for art. 277",0,0,0,0,0,0,1,0,0,0,0,0,1
798,GAVIAO PEIXOTO                ,7633-1,Dirigir veiculo segurando telefone celular,0,0,0,0,2,0,0,0,0,0,0,0,3
800,IPIGUA                        ,5010-0,Dirigir veiculo sem possuir CNH/PPD/ACC,1,4,3,5,8,3,3,2,2,0,0,0,31
800,IPIGUA                        ,5029-2,Dirigir veiculo com CNH/PPD/ACC com suspensao do direito de dirigir,0,1,0,0,0,0,0,0,0,0,0,0,1
800,IPIGUA                        ,5037-1,Dirigir veiculo com CNH de categoria diferente da do veiculo,0,0,1,1,0,1,0,0,0,0,0,0,3
800,IPIGUA                        ,5045-0,Dirigir veiculo com validade de CNH/PPD vencida ha mais de 30 dias,0,0,0,1,2,1,0,1,0,0,0,0,5
800,IPIGUA                        ,5118-0,Permitir posse/conducao do veiculo a pessoa sem CNH/PPD/ACC,1,1,3,5,4,3,3,2,2,0,0,0,24
800,IPIGUA                        ,5134-1,Permitir posse/conducao veic a pessoa com CNH categoria diferente da do veiculo,0,0,0,0,0,1,0,0,0,0,0,0,1
800,IPIGUA                        ,5142-0,Permitir posse/conducao do veic a pessoa com CNH/PPD vencida ha mais de 30 dias,0,0,0,0,1,1,0,0,0,0,0,0,2
800,IPIGUA                        ,5169-1,Dirigir sob a influencia de alcool,0,1,0,1,0,0,0,0,0,0,0,0,2
800,IPIGUA                        ,5193-0,Transportar crianca sem observancia das normas de seguranca estabelecidas p/ CTB,0,0,0,0,0,0,0,1,0,0,0,0,1
800,IPIGUA                        ,5207-0,Dirigir sem atencao ou sem os cuidados indispensaveis a seguranca,0,0,1,0,0,0,0,0,0,0,0,0,1
800,IPIGUA                        ,5380-0,Estacionar nas esquinas e a menos de 5m do alinhamento da via transversal,0,0,0,0,0,0,0,0,1,0,0,0,1
800,IPIGUA                        ,5452-1,Estacionar no passeio,0,0,0,0,0,5,0,1,0,0,0,0,6
800,IPIGUA                        ,5525-0,Estacionar na contramao de direcao,0,0,0,0,0,1,0,3,0,0,0,0,4
800,IPIGUA                        ,5568-0,Estacionar local/horario de estacionamento e parada proibidos pela sinalizacao,0,0,0,0,1,0,0,3,0,0,0,0,4
800,IPIGUA                        ,6408-0,Portar no veiculo placas de identificacao em desacordo c/ especif/modelo Contran,0,0,0,0,0,0,1,0,0,0,0,0,1
800,IPIGUA                        ,6530-0,Usar no veiculo equip c/ som em volume/frequencia nao autorizados pelo Contran,0,0,0,0,0,0,0,1,0,0,0,0,1
800,IPIGUA                        ,6556-1,Conduzir o veiculo com o lacre de identificacao violado/falsificado,0,0,1,1,0,0,0,0,0,0,0,0,2
800,IPIGUA                        ,6599-2,Conduzir o veiculo registrado que nao esteja devidamente licenciado,1,3,0,4,5,6,10,8,1,0,0,0,38
800,IPIGUA                        ,6602-0,Conduzir o veiculo com qualquer uma das placas sem legibilidade e visibilidade,0,0,0,1,0,0,0,0,0,0,0,0,1
800,IPIGUA                        ,6637-1,Conduzir o veiculo sem equipamento obrigatorio,0,1,0,0,3,2,0,0,0,0,0,0,6
800,IPIGUA                        ,6637-2,Conduzir o veiculo com equipamento obrigatorio ineficiente/inoperante,0,0,0,1,0,0,0,0,0,0,0,0,1
800,IPIGUA                        ,6726-1,"Conduzir o veiculo em mau estado de conservacao, comprometendo a seguranca",0,1,0,3,0,1,1,0,0,0,0,0,6
800,IPIGUA                        ,6769-0,"Conduzir veic c/ defeito no sist de iluminacao, sinaliz ou lampadas queimadas",1,0,0,0,0,0,2,0,0,0,0,0,3
800,IPIGUA                        ,6912-0,Conduzir veiculo sem os documentos de porte obrigatorio referidos no CTB,0,1,0,0,0,0,0,0,0,0,0,0,1
800,IPIGUA                        ,6920-1,"Deixar de efetuar registro do veiculo em 30 dias, qdo for transf a propriedade",0,0,0,1,0,0,0,0,0,0,0,0,1
800,IPIGUA                        ,6971-0,Recusar-se a entregar CNH/CRV/CRLV/ outros documentos,0,0,0,1,0,0,0,0,0,0,0,0,1
800,IPIGUA                        ,7340-0,Dirigir o veic usando calcado que n se firme nos pes/comprometa utiliz pedais,0,0,0,0,0,1,1,0,0,0,0,0,2
800,IPIGUA                        ,7633-1,Dirigir veiculo segurando telefone celular,0,0,0,0,0,1,0,0,0,0,0,0,1
802,JUMIRIM                       ,5010-0,Dirigir veiculo sem possuir CNH/PPD/ACC,0,1,0,1,0,0,3,0,2,0,0,0,7
802,JUMIRIM                       ,5045-0,Dirigir veiculo com validade de CNH/PPD vencida ha mais de 30 dias,0,0,0,0,0,1,0,0,0,0,0,0,1
802,JUMIRIM                       ,5118-0,Permitir posse/conducao do veiculo a pessoa sem CNH/PPD/ACC,0,1,0,0,0,0,0,0,1,0,0,0,2
802,JUMIRIM                       ,5185-1,Deixar o condutor de usar o cinto seguranca,9,1,0,1,0,0,0,2,1,0,0,0,14
802,JUMIRIM                       ,5207-0,Dirigir sem atencao ou sem os cuidados indispensaveis a seguranca,2,0,0,0,0,0,0,1,0,0,0,0,3
802,JUMIRIM                       ,5835-0,Desobedecer as ordens emanadas da autorid compet de transito ou de seus agentes,0,1,0,0,0,0,0,1,1,0,0,0,3
802,JUMIRIM                       ,6432-2,Transitar com o facho de luz alta perturbando visao outro condutor,1,0,0,0,0,0,0,0,0,0,0,0,1
802,JUMIRIM                       ,6599-2,Conduzir o veiculo registrado que nao esteja devidamente licenciado,0,0,0,0,1,1,2,0,2,0,0,0,6
802,JUMIRIM                       ,6726-1,"Conduzir o veiculo em mau estado de conservacao, comprometendo a seguranca",0,0,0,0,0,0,1,0,0,0,0,0,1
802,JUMIRIM                       ,6858-0,Transitar com o veiculo com lotacao excedente,1,0,0,0,0,0,0,0,0,0,0,0,1
802,JUMIRIM                       ,6912-0,Conduzir veiculo sem os documentos de porte obrigatorio referidos no CTB,0,0,0,0,0,0,0,0,1,0,0,0,1
802,JUMIRIM                       ,7030-1,"Conduzir motocicleta, motoneta e ciclomotor sem capacete de seguranca",0,0,0,0,0,0,0,0,1,0,0,0,1
802,JUMIRIM                       ,7358-0,"Dirigir o veiculo com apenas uma das maos, exceto quando permitido pelo CTB",6,0,0,0,0,0,0,0,0,0,0,0,6
802,JUMIRIM                       ,7366-2,Dirigir veiculo utilizando-se de telefone celular,1,0,0,0,0,0,0,0,0,0,0,0,1
802,JUMIRIM                       ,7579-0,"Rec sub test, ex clin, peric ou proc q perm cert infl alc/sub psic for art. 277",0,0,0,0,0,0,0,1,0,0,0,0,1
802,JUMIRIM                       ,7633-1,Dirigir veiculo segurando telefone celular,0,0,0,0,1,0,0,0,0,0,0,0,1
802,JUMIRIM                       ,7633-2,Dirigir veiculo manuseando telefone celular,0,0,0,1,1,0,0,0,0,0,0,0,2
804,NANTES                        ,5010-0,Dirigir veiculo sem possuir CNH/PPD/ACC,1,0,0,1,1,0,0,1,1,0,0,0,6
804,NANTES                        ,5118-0,Permitir posse/conducao do veiculo a pessoa sem CNH/PPD/ACC,0,0,0,1,1,0,0,0,0,0,0,0,2
804,NANTES                        ,5169-1,Dirigir sob a influencia de alcool,0,0,0,0,1,0,0,0,1,0,0,0,2
804,NANTES                        ,5185-1,Deixar o condutor de usar o cinto seguranca,0,1,0,0,2,0,0,2,4,0,0,0,9
804,NANTES                        ,5185-2,Deixar o passageiro de usar o cinto seguranca,0,0,1,0,0,0,0,0,0,0,0,0,1
804,NANTES                        ,5274-1,Utiliz veic demonst/exibir manobra perigosa mediante arrancada brusca,0,0,0,0,0,0,0,0,1,0,0,0,1
804,NANTES                        ,5525-0,Estacionar na contramao de direcao,0,0,0,0,0,1,0,0,0,0,0,0,1
804,NANTES                        ,5835-0,Desobedecer as ordens emanadas da autorid compet de transito ou de seus agentes,0,0,0,0,0,0,0,0,1,0,0,0,1
804,NANTES                        ,6050-2,Avancar o sinal de parada obrigatoria,0,0,0,0,0,1,0,0,0,0,0,0,1
804,NANTES                        ,6530-0,Usar no veiculo equip c/ som em volume/frequencia nao autorizados pelo Contran,4,0,0,0,0,0,0,0,3,0,0,0,7
804,NANTES                        ,6556-1,Conduzir o veiculo com o lacre de identificacao violado/falsificado,0,0,0,0,0,0,0,0,0,0,0,0,1
804,NANTES                        ,6599-2,Conduzir o veiculo registrado que nao esteja devidamente licenciado,0,0,0,1,1,0,0,1,0,0,0,0,3
804,NANTES                        ,6637-1,Conduzir o veiculo sem equipamento obrigatorio,0,0,0,1,0,0,0,0,0,0,0,0,1
804,NANTES                        ,6726-1,"Conduzir o veiculo em mau estado de conservacao, comprometendo a seguranca",0,0,0,1,1,0,0,1,1,0,0,0,5
804,NANTES                        ,7358-0,"Dirigir o veiculo com apenas uma das maos, exceto quando permitido pelo CTB",0,0,0,0,0,1,0,0,1,0,0,0,2
804,NANTES                        ,7366-2,Dirigir veiculo utilizando-se de telefone celular,0,1,0,0,0,0,0,1,0,0,0,0,2
804,NANTES                        ,7579-0,"Rec sub test, ex clin, peric ou proc q perm cert infl alc/sub psic for art. 277",0,0,0,0,0,0,1,0,0,0,0,0,1
806,NOVA CASTILHO                 ,5185-2,Deixar o passageiro de usar o cinto seguranca,0,0,0,0,0,0,0,0,1,0,0,0,1
806,NOVA CASTILHO                 ,5401-0,Estacionar afastado da guia da calcada (meio-fio) a mais de 1m,0,0,0,0,0,0,0,0,1,0,0,0,1
806,NOVA CASTILHO                 ,5452-5,Estacionar ao lado ou sobre canteiro central/divisores de pista de rolamento,0,0,1,0,0,0,0,0,0,0,0,0,1
806,NOVA CASTILHO                 ,5525-0,Estacionar na contramao de direcao,0,0,0,0,0,1,1,0,0,0,0,0,2
806,NOVA CASTILHO                 ,6599-1,Conduzir o veiculo que nao esteja registrado,0,0,0,0,0,0,0,0,1,0,0,0,1
806,NOVA CASTILHO                 ,6670-0,Conduzir o veiculo c/ equip do sistema de iluminacao e de sinalizacao alterados,0,0,0,0,0,0,0,0,2,0,0,0,2
806,NOVA CASTILHO                 ,7366-2,Dirigir veiculo utilizando-se de telefone celular,0,0,0,0,0,0,0,0,0,0,0,0,1
806,NOVA CASTILHO                 ,7684-2,NULL,0,0,0,0,0,0,0,0,1,0,0,0,1
808,OUROESTE                      ,5010-0,Dirigir veiculo sem possuir CNH/PPD/ACC,3,2,2,0,2,3,3,1,6,0,0,0,25
808,OUROESTE                      ,5029-1,Dirigir veiculo com CNH/PPD/ACC cassada,0,0,0,0,0,0,0,1,0,0,0,0,1
808,OUROESTE                      ,5045-0,Dirigir veiculo com validade de CNH/PPD vencida ha mais de 30 dias,0,0,1,0,0,0,0,0,0,0,0,0,1
808,OUROESTE                      ,5118-0,Permitir posse/conducao do veiculo a pessoa sem CNH/PPD/ACC,1,0,0,0,0,0,0,1,1,0,0,0,3
808,OUROESTE                      ,5169-1,Dirigir sob a influencia de alcool,1,0,0,0,0,0,0,0,0,0,0,0,1
808,OUROESTE                      ,5207-0,Dirigir sem atencao ou sem os cuidados indispensaveis a seguranca,0,0,2,0,1,0,0,0,1,0,0,0,4
808,OUROESTE                      ,5215-1,Dirigir ameacando os pedestres que estejam atravessando a via publica,0,0,0,0,2,2,0,0,2,0,0,0,6
808,OUROESTE                      ,5215-2,Dirigir ameacando os demais veiculos,0,0,1,0,0,0,0,0,0,0,0,0,1
808,OUROESTE                      ,5274-1,Utiliz veic demonst/exibir manobra perigosa mediante arrancada brusca,0,0,0,0,1,0,0,0,0,0,0,0,1
808,OUROESTE                      ,5347-0,"Deixar o condutor envolvido em acidente s/ vitima, de remover o veiculo do local",0,0,1,0,0,0,0,0,0,0,0,0,1
808,OUROESTE                      ,5525-0,Estacionar na contramao de direcao,0,0,0,0,0,0,1,0,0,0,0,0,1
808,OUROESTE                      ,5720-0,Transitar pela contramao de direcao em via com duplo sentido de circulacao,0,0,0,0,1,0,0,0,0,0,0,0,1
808,OUROESTE                      ,5738-0,Transitar pela contramao de direcao em via c/ sinalizacao de regul sentido unico,0,0,0,0,0,1,1,0,0,0,0,0,2
808,OUROESTE                      ,5819-1,"Transitar com o veiculo em calcadas, passeios",0,0,0,0,1,0,0,0,0,0,0,0,1
808,OUROESTE                      ,5835-0,Desobedecer as ordens emanadas da autorid compet de transito ou de seus agentes,0,0,1,0,1,0,0,0,0,0,0,0,2
808,OUROESTE                      ,6050-2,Avancar o sinal de parada obrigatoria,0,0,1,0,2,2,0,0,1,0,0,0,6
808,OUROESTE                      ,6068-1,Transpor bloqueio viario com ou sem sinalizacao ou dispositivos auxiliares,0,0,0,0,0,0,0,0,2,0,0,0,2
808,OUROESTE                      ,6530-0,Usar no veiculo equip c/ som em volume/frequencia nao autorizados pelo Contran,1,3,0,1,3,2,4,1,16,0,0,0,32
808,OUROESTE                      ,6599-2,Conduzir o veiculo registrado que nao esteja devidamente licenciado,3,2,1,0,3,2,0,1,4,0,0,0,18
808,OUROESTE                      ,6637-1,Conduzir o veiculo sem equipamento obrigatorio,0,1,3,0,0,0,0,0,0,0,0,0,4
808,OUROESTE                      ,6637-2,Conduzir o veiculo com equipamento obrigatorio ineficiente/inoperante,0,0,1,0,0,1,1,0,0,0,0,0,3
808,OUROESTE                      ,6726-1,"Conduzir o veiculo em mau estado de conservacao, comprometendo a seguranca",0,1,0,0,0,0,0,0,1,0,0,0,2
808,OUROESTE                      ,6912-0,Conduzir veiculo sem os documentos de porte obrigatorio referidos no CTB,0,0,1,0,0,0,0,0,1,0,0,0,2
808,OUROESTE                      ,6920-1,"Deixar de efetuar registro do veiculo em 30 dias, qdo for transf a propriedade",58,56,19,29,23,19,22,25,20,0,0,0,276
808,OUROESTE                      ,7056-1,Conduzir motoc/moton/ciclomotor fazendo malabarismo/equilibrando-se em uma roda,0,0,0,3,1,1,0,0,0,0,0,0,5
808,OUROESTE                      ,7340-0,Dirigir o veic usando calcado que n se firme nos pes/comprometa utiliz pedais,0,0,3,1,0,0,1,0,0,0,0,0,6
808,OUROESTE                      ,7366-2,Dirigir veiculo utilizando-se de telefone celular,1,0,1,0,0,1,1,0,0,0,0,0,4
808,OUROESTE                      ,7579-0,"Rec sub test, ex clin, peric ou proc q perm cert infl alc/sub psic for art. 277",0,1,0,0,1,1,0,0,1,0,0,0,5
808,OUROESTE                      ,7625-1,"Estacionar nas vagas reserv as pess c/ deficiencia, s/ credencial",0,0,0,0,0,0,2,0,0,0,0,0,2
808,OUROESTE                      ,7633-1,Dirigir veiculo segurando telefone celular,3,0,4,1,0,2,0,0,0,0,0,0,10
