Número do Processo/PVL,Interessado,UF,Tipo de interessado,Tipo de operação,Finalidade,Tipo de credor,Credor,Moeda,Valor,Número do Processo/PVL,Código IBGE,Status,Data,Analisado por
17944.104874/2019-04,Caravelas,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,9000000,17944.104874/2019-04,2906907,Em retificação pelo credor,9/16/2020,STN
PVL02.001569/2020-24,Serrinha dos Pintos,RN,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,684785,PVL02.001569/2020-24,2413557,Deferido (PVL-IF),9/9/2020,Instituição Financeira
PVL02.000890/2020-91,Demerval Lobão,PI,Município,Operação Contratual Interna,Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2845000,PVL02.000890/2020-91,2203305,Em retificação pelo interessado (PVL-IF),9/3/2020,Instituição Financeira
PVL02.001575/2020-81,Santo Antônio de Jesus,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1191968,PVL02.001575/2020-81,2928703,Deferido (PVL-IF),9/2/2020,Instituição Financeira
PVL02.001389/2020-42,Jacobina,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,3518025,PVL02.001389/2020-42,2917508,Deferido (PVL-IF),9/1/2020,Instituição Financeira
PVL02.001022/2020-29,São Joaquim do Monte,PE,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco do Brasil S/A,Real,350000,PVL02.001022/2020-29,2613305,Deferido (PVL-IF),9/1/2020,Instituição Financeira
PVL02.000205/2020-27,Pau do Arco do Piauí,PI,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco do Brasil S/A,Real,188900,PVL02.000205/2020-27,2207793,Deferido (PVL-IF),9/1/2020,Instituição Financeira
PVL02.001412/2020-07,Marechal Deodoro,AL,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,5000000,PVL02.001412/2020-07,2704708,Deferido (PVL-IF),8/31/2020,Instituição Financeira
PVL02.000068/2020-21,Gravatá,PE,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Caixa Econômica Federal,Real,4000000,PVL02.000068/2020-21,2606408,Deferido (PVL-IF),8/31/2020,Instituição Financeira
PVL02.000925/2020-92,Jaboatão dos Guararapes,PE,Município,Operação Contratual Interna,Saneamento para Todos,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2051735,PVL02.000925/2020-92,2607901,Em retificação pelo interessado (PVL-IF),8/28/2020,Instituição Financeira
PVL02.001414/2020-98,Novo Santo Antônio,PI,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3833113,PVL02.001414/2020-98,2206951,Deferido (PVL-IF),8/28/2020,Instituição Financeira
17944.103122/2020-51,Lauro de Freitas,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,10000000,17944.103122/2020-51,2919207,Deferido,8/27/2020,STN
PVL02.000326/2020-79,Antônio Almeida,PI,Município,Operação Contratual Interna,Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1498801,PVL02.000326/2020-79,2200806,Deferido (PVL-IF),8/27/2020,Instituição Financeira
17944.103114/2020-13,Piauí,PI,Estado,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Brasília S/A,Real,83000000,17944.103114/2020-13,22,Deferido,8/27/2020,STN
17944.104849/2019-12,Macaíba,RN,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,25000000,17944.104849/2019-12,2407104,Em retificação pelo interessado,8/27/2020,STN
17944.102425/2020-57,Horizonte,CE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,49978450,17944.102425/2020-57,2305233,Deferido,8/26/2020,STN
17944.103824/2020-35,Horizonte,CE,Município,Operação Contratual Interna,Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,18998423,17944.103824/2020-35,2305233,Deferido,8/25/2020,STN
PVL02.001542/2020-31,Ituberá,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,3250000,PVL02.001542/2020-31,2917300,Deferido (PVL-IF),8/24/2020,Instituição Financeira
17944.104425/2019-58,Paulo Afonso,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,50000000,17944.104425/2019-58,2924009,Encaminhado à PGFN com manifestação técnica favorável,8/18/2020,STN
PVL02.001431/2020-25,Itiruçu,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1000000,PVL02.001431/2020-25,2916906,Deferido (PVL-IF),8/11/2020,Instituição Financeira
17944.102426/2020-00,Crato,CE,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Banco Santander (Brasil) S.A.,Real,30000000,17944.102426/2020-00,2304202,Encaminhado à PGFN com manifestação técnica favorável,8/11/2020,STN
17944.102788/2020-92,Feira de Santana,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,30000000,17944.102788/2020-92,2910800,Encaminhado à PGFN com manifestação técnica favorável,7/31/2020,STN
PVL02.001368/2020-27,Pindobaçu,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,800000,PVL02.001368/2020-27,2924603,Deferido (PVL-IF),7/28/2020,Instituição Financeira
17944.103116/2020-02,Simões Filho,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,8500000,17944.103116/2020-02,2930709,Deferido,7/28/2020,STN
17944.101635/2020-28,Piripiri,PI,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5000000,17944.101635/2020-28,2208403,Encaminhado à PGFN com manifestação técnica favorável,7/27/2020,STN
17944.102901/2020-30,Teresina,PI,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,100000000,17944.102901/2020-30,2211001,Encaminhado à PGFN com manifestação técnica favorável,7/27/2020,STN
17944.104620/2019-88,Maragogipe,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,15000000,17944.104620/2019-88,2920601,Encaminhado à PGFN com manifestação técnica favorável,7/24/2020,STN
PVL02.000962/2020-09,Macaúbas,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco do Brasil S/A,Real,1475383,PVL02.000962/2020-09,2919801,Deferido (PVL-IF),7/23/2020,Instituição Financeira
17944.102155/2020-84,Farias Brito,CE,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4776360,17944.102155/2020-84,2304301,Em retificação pelo interessado,7/23/2020,STN
17944.102931/2020-46,Quiterianópolis,CE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,11999538,17944.102931/2020-46,2311264,Deferido,7/22/2020,STN
17944.102459/2020-41,Ruy Barbosa,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4000000,17944.102459/2020-41,2927200,Em retificação pelo interessado,7/20/2020,STN
17944.103098/2020-51,Uibaí,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5000000,17944.103098/2020-51,2932408,Em retificação pelo interessado,7/17/2020,STN
17944.102889/2020-63,Seabra,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,7500000,17944.102889/2020-63,2929909,Deferido,7/15/2020,STN
17944.103070/2020-13,Piripiri,PI,Município,Operação Contratual Interna,Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,11052688,17944.103070/2020-13,2208403,Deferido,7/15/2020,STN
PVL02.001397/2020-99,Mutuípe,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,448222,PVL02.001397/2020-99,2922409,Deferido (PVL-IF),7/14/2020,Instituição Financeira
17944.100326/2020-31,Lapão,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4900000,17944.100326/2020-31,2919157,Encaminhado à PGFN com manifestação técnica favorável,7/13/2020,STN
PVL02.008123/2019-97,Itatim,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2000000,PVL02.008123/2019-97,2916856,Deferido (PVL-IF),7/8/2020,Instituição Financeira
PVL02.008124/2019-31,Itatim,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5000000,PVL02.008124/2019-31,2916856,Deferido (PVL-IF),7/8/2020,Instituição Financeira
PVL02.001388/2020-06,Brotas de Macaúbas,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1800000,PVL02.001388/2020-06,2904506,Deferido (PVL-IF),7/6/2020,Instituição Financeira
17944.102458/2020-05,Saúde,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3000000,17944.102458/2020-05,2929800,Em retificação pelo interessado,6/30/2020,STN
17944.101251/2020-13,Simões Filho,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5000000,17944.101251/2020-13,2930709,Arquivado a pedido,6/30/2020,STN
17944.102025/2020-41,Pojuca,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,7000000,17944.102025/2020-41,2925204,Encaminhado à PGFN com manifestação técnica favorável,6/25/2020,STN
PVL02.001347/2020-10,Pereiro,CE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,2000000,PVL02.001347/2020-10,2310803,Deferido (PVL-IF),6/24/2020,Instituição Financeira
PVL02.001201/2020-66,Quixeré,CE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,2399700,PVL02.001201/2020-66,2311504,Deferido (PVL-IF),6/15/2020,Instituição Financeira
PVL02.003481/2019-11,Farias Brito,CE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4776360,PVL02.003481/2019-11,2304301,Arquivado a pedido (PVL-IF),6/10/2020,Instituição Financeira
PVL02.000449/2020-18,Bernardino Batista,PB,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco do Brasil S/A,Real,800000,PVL02.000449/2020-18,2502052,Deferido (PVL-IF),6/10/2020,Instituição Financeira
PVL02.001041/2020-55,Bom Jardim,PE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1500000,PVL02.001041/2020-55,2602209,Deferido (PVL-IF),6/8/2020,Instituição Financeira
17944.102340/2020-79,Luís Eduardo Magalhães,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,11000000,17944.102340/2020-79,2919553,Deferido,5/28/2020,STN
PVL02.001942/2019-11,Eusébio,CE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,3915000,PVL02.001942/2019-11,2304285,Deferido (PVL-IF),5/28/2020,Instituição Financeira
PVL02.000203/2020-38,Marco,CE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,3500000,PVL02.000203/2020-38,2307809,Deferido (PVL-IF),5/27/2020,Instituição Financeira
PVL02.008180/2019-76,Monte Santo,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5000000,PVL02.008180/2019-76,2921500,Deferido (PVL-IF),5/26/2020,Instituição Financeira
PVL02.000174/2020-12,Tejuçuoca,CE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,2500000,PVL02.000174/2020-12,2313351,Deferido (PVL-IF),5/26/2020,Instituição Financeira
PVL02.003668/2019-15,Riachão,MA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco do Brasil S/A,Real,720000,PVL02.003668/2019-15,2109502,Deferido (PVL-IF),5/26/2020,Instituição Financeira
PVL02.009684/2019-11,Demerval Lobão,PI,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco do Brasil S/A,Real,1500000,PVL02.009684/2019-11,2203305,Deferido (PVL-IF),5/26/2020,Instituição Financeira
17944.102368/2020-14,Recife,PE,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco do Brasil S/A,Real,65000000,17944.102368/2020-14,2611606,Deferido,5/21/2020,STN
PVL02.000403/2020-91,Condado,PB,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco do Brasil S/A,Real,610000,PVL02.000403/2020-91,2504504,Deferido (PVL-IF),5/19/2020,Instituição Financeira
17944.100846/2020-43,Camocim,CE,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,21000000,17944.100846/2020-43,2302602,Encaminhado à PGFN com manifestação técnica favorável,5/18/2020,STN
PVL02.001186/2020-56,Castro Alves,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5000000,PVL02.001186/2020-56,2907301,Deferido (PVL-IF),5/14/2020,Instituição Financeira
17944.103714/2019-30,Sobral,CE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,15224029,17944.103714/2019-30,2312908,Arquivado por decurso de prazo,5/11/2020,STN
PVL02.007849/2019-11,Arcoverde,PE,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco do Brasil S/A,Real,3341811,PVL02.007849/2019-11,2601201,Deferido (PVL-IF),5/11/2020,Instituição Financeira
17944.101697/2020-30,Aracati,CE,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,23544000,17944.101697/2020-30,2301109,Encaminhado à PGFN com manifestação técnica favorável,5/8/2020,STN
17944.101667/2020-23,Itaíba,PE,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5000000,17944.101667/2020-23,2607505,Assinado pelo interessado (retificação),5/7/2020,STN
PVL02.001085/2020-85,Santo Antônio de Jesus,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1000000,PVL02.001085/2020-85,2928703,Deferido (PVL-IF),4/27/2020,Instituição Financeira
17944.101282/2020-66,Sergipe,SE,Estado,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,200000000,17944.101282/2020-66,28,Deferido,4/27/2020,STN
17944.101336/2020-93,Dormentes,PE,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4922292,17944.101336/2020-93,2605152,Em retificação pelo interessado,4/24/2020,STN
PVL02.000275/2020-85,Conceição do Almeida,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3000000,PVL02.000275/2020-85,2908309,Deferido (PVL-IF),4/22/2020,Instituição Financeira
17944.101569/2020-96,Ceará,CE,Estado,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,800000000,17944.101569/2020-96,23,Encaminhado à PGFN com manifestação técnica favorável,4/17/2020,STN
PVL02.000261/2020-61,Solonópole,CE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,4000326,PVL02.000261/2020-61,2313005,Deferido (PVL-IF),4/17/2020,Instituição Financeira
17944.104815/2019-28,Teixeira de Freitas,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,30000000,17944.104815/2019-28,2931350,Deferido,4/16/2020,STN
17944.101892/2020-60,Estância,SE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,14462643,17944.101892/2020-60,2802106,Cancelado,4/16/2020,STN
17944.104650/2019-94,Aracati,CE,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,9000000,17944.104650/2019-94,2301109,Arquivado a pedido,4/15/2020,STN
PVL02.008501/2019-32,Mombaça,CE,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco do Brasil S/A,Real,2000000,PVL02.008501/2019-32,2308500,Deferido (PVL-IF),4/15/2020,Instituição Financeira
17944.101782/2020-06,Rafael Jambeiro,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,3000000,17944.101782/2020-06,2925956,Deferido,4/13/2020,STN
PVL02.000676/2020-35,Belém de Maria,PE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5000000,PVL02.000676/2020-35,2601508,Deferido (PVL-IF),3/31/2020,Instituição Financeira
17944.104214/2019-15,Paulista,PE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,69990695,17944.104214/2019-15,2610707,Deferido,3/31/2020,STN
17944.101531/2020-13,Recife,PE,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco do Brasil S/A,Real,13000000,17944.101531/2020-13,2611606,Deferido,3/30/2020,STN
17944.101173/2020-49,Bahia,BA,Estado,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,250000000,17944.101173/2020-49,29,Deferido,3/25/2020,STN
17944.101249/2020-36,Vitória da Conquista,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,10000000,17944.101249/2020-36,2933307,Deferido,3/25/2020,STN
17944.101241/2020-70,Vitória da Conquista,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,50000000,17944.101241/2020-70,2933307,Deferido,3/23/2020,STN
17944.100293/2020-29,Cabo de Santo Agostinho,PE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,90000000,17944.100293/2020-29,2602902,Deferido,3/20/2020,STN
17944.100652/2020-48,Recife,PE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,201000000,17944.100652/2020-48,2611606,Deferido,3/18/2020,STN
PVL02.000242/2020-35,São Félix do Coribe,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2000000,PVL02.000242/2020-35,2929057,Deferido (PVL-IF),3/16/2020,Instituição Financeira
17944.100580/2020-39,Alagoas,AL,Estado,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,177000000,17944.100580/2020-39,27,Encaminhado à PGFN (decisão judicial),3/13/2020,STN
17944.100613/2020-41,Alagoas,AL,Estado,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,300000000,17944.100613/2020-41,27,Encaminhado à PGFN (decisão judicial),3/13/2020,STN
PVL02.009406/2019-56,Adustina,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1300000,PVL02.009406/2019-56,2900355,Deferido (PVL-IF),3/13/2020,Instituição Financeira
PVL02.000241/2020-91,Botuporã,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3800000,PVL02.000241/2020-91,2904209,Indeferido (PVL-IF),3/13/2020,Instituição Financeira
17944.104423/2019-69,Candeias,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,45500000,17944.104423/2019-69,2906501,Encaminhado à PGFN com manifestação técnica favorável,3/13/2020,STN
17944.104138/2019-48,São Gonçalo do Amarante,RN,Município,Operação Contratual Externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Fundo Financeiro para o Desenvolvimento da Bacia do Prata,Dólar dos EUA,34000000,17944.104138/2019-48,2412005,Encaminhado à PGFN com manifestação técnica favorável,3/13/2020,STN
PVL02.000577/2020-53,Teofilândia,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,600000,PVL02.000577/2020-53,2931509,Deferido (PVL-IF),3/11/2020,Instituição Financeira
PVL02.009184/2019-71,Belém do Piauí,PI,Município,Operação Contratual Interna,Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4749000,PVL02.009184/2019-71,2201572,Deferido (PVL-IF),3/11/2020,Instituição Financeira
17944.100977/2020-21,Barreiras,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,30000000,17944.100977/2020-21,2903201,Deferido,3/10/2020,STN
17944.102258/2019-19,Teresina,PI,Município,Operação Contratual Interna,Saneamento para Todos,Instituição Financeira Nacional,Caixa Econômica Federal,Real,79066521,17944.102258/2019-19,2211001,Deferido,3/10/2020,STN
17944.102259/2019-55,Teresina,PI,Município,Operação Contratual Interna,Saneamento para Todos,Instituição Financeira Nacional,Caixa Econômica Federal,Real,8613300,17944.102259/2019-55,2211001,Deferido,3/10/2020,STN
PVL02.007703/2019-67,Água Branca,PI,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4749000,PVL02.007703/2019-67,2200202,Deferido (PVL-IF),3/10/2020,Instituição Financeira
17944.103476/2017-09,Paraíba,PB,Estado,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,188886894,17944.103476/2017-09,25,Arquivado a pedido,3/6/2020,STN
17944.100705/2020-21,Ipojuca,PE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,80113089,17944.100705/2020-21,2607208,Deferido,3/6/2020,STN
