UF,Sigla Partido,Cargo,Nome candidato,Valor despesa,Tipo despesa,Fonte recurso,EspÈcie recurso,DescriÁao da despesa
SP,PMDB,Senador,ORESTES QUERCIA,175.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,175.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,175.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,39.00,CriaÁ„o e inclus„o de p·ginas na internet,Outros Recursos nao descritos,Cheque,DOMINIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,1012.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,410.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,274.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,4000.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,39.00,CriaÁ„o e inclus„o de p·ginas na internet,Outros Recursos nao descritos,Cheque,DOMINIO
SP,PMDB,Senador,ORESTES QUERCIA,1500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,2000.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,4000.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,1500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,1500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,2500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,1500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,1500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,1500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,1500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,39.00,CriaÁ„o e inclus„o de p·ginas na internet,Outros Recursos nao descritos,Cheque,DOMINIO
SP,PMDB,Senador,ORESTES QUERCIA,1500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,1500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,2600.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,3900.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,2600.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,3900.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,3900.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,2600.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,42262.50,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,PREST SERV DE ASSESSORIA DE IMPRENSA
SP,PMDB,Senador,ORESTES QUERCIA,16303.00,Publicidade por materiais impressos,Outros Recursos nao descritos,Cheque,MATERIAL DE CAMPANHA
SP,PMDB,Senador,ORESTES QUERCIA,39.00,CriaÁ„o e inclus„o de p·ginas na internet,Outros Recursos nao descritos,Cheque,DOMINIO
SP,PMDB,Senador,ORESTES QUERCIA,16303.00,Publicidade por materiais impressos,Outros Recursos nao descritos,Cheque,MATERIAL DE CAMPANHA
SP,PMDB,Senador,ORESTES QUERCIA,16303.00,Publicidade por materiais impressos,Outros Recursos nao descritos,Cheque,MATERIAL DE CAMPANHA
SP,PMDB,Senador,ORESTES QUERCIA,140000.00,"ProduÁ„o de programas de r·dio, televis„o ou vÌdeo",Outros Recursos nao descritos,Cheque,CRIA«√O E PROD DE PROGRAMA E COMERCIAL DE TELEVIS√O E R¡DIO
SP,PMDB,Senador,ORESTES QUERCIA,1416.67,Cess„o ou LocaÁ„o de VeÌculos,Outros Recursos nao descritos,Cheque,2™ PARCELA CONFORME CONTRATO
SP,PMDB,Senador,ORESTES QUERCIA,1500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,RECIBO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,2500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,30.00,CriaÁ„o e inclus„o de p·ginas na internet,Outros Recursos nao descritos,Cheque,DOMINIO
SP,PMDB,Senador,ORESTES QUERCIA,933.24,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,1500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,1800.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,966.57,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,966.57,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,30.00,CriaÁ„o e inclus„o de p·ginas na internet,Outros Recursos nao descritos,Cheque,DOMINIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,2.90,Encargos financeiros e taxas banc·rias,Outros Recursos nao descritos,DÈbito em conta,
SP,PMDB,Senador,ORESTES QUERCIA,8519.00,CombustÌveis e lubrificantes,Outros Recursos nao descritos,Cheque,COMBUSTIVEL
SP,PMDB,Senador,ORESTES QUERCIA,966.57,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,30.00,CriaÁ„o e inclus„o de p·ginas na internet,Outros Recursos nao descritos,Cheque,DOMINIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,2.90,Encargos financeiros e taxas banc·rias,Outros Recursos nao descritos,DÈbito em conta,TARIFA DI AGENCIA
SP,PMDB,Senador,ORESTES QUERCIA,30.00,CriaÁ„o e inclus„o de p·ginas na internet,Outros Recursos nao descritos,Cheque,DOMINIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,
SP,PMDB,Senador,ORESTES QUERCIA,3500.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SALARIO
SP,PMDB,Senador,ORESTES QUERCIA,16000.00,"ProduÁ„o de programas de r·dio, televis„o ou vÌdeo",Outros Recursos nao descritos,Cheque,GRAVA«√O DE MULTIMIDIA
SP,PMDB,Senador,ORESTES QUERCIA,3125.31,LocaÁ„o/cess„o de bens mÛveis,Outros Recursos nao descritos,Cheque,LOCA«√O DE COMPUTADORES
SP,PMDB,Senador,ORESTES QUERCIA,2.90,Encargos financeiros e taxas banc·rias,Outros Recursos nao descritos,DÈbito em conta,
SP,PMDB,Senador,ORESTES QUERCIA,55.00,Encargos financeiros e taxas banc·rias,Outros Recursos nao descritos,DÈbito em conta,
SP,PMDB,Senador,ORESTES QUERCIA,8.70,Encargos financeiros e taxas banc·rias,Outros Recursos nao descritos,DÈbito em conta,
SP,PMDB,Senador,ORESTES QUERCIA,37.12,Encargos financeiros e taxas banc·rias,Outros Recursos nao descritos,DÈbito em conta,
SP,PMDB,Senador,ORESTES QUERCIA,30.00,CriaÁ„o e inclus„o de p·ginas na internet,Outros Recursos nao descritos,Cheque,DOMINIO
SP,PMDB,Senador,ORESTES QUERCIA,3610.39,LocaÁ„o/cess„o de bens imÛveis,Outros Recursos nao descritos,Cheque,CONDOMINIO REF. 02/09
SP,PMDB,Senador,ORESTES QUERCIA,2582.10,LocaÁ„o/cess„o de bens mÛveis,Outros Recursos nao descritos,Cheque,ALUGUEL DE MOBILI¡RIO DE ESCRIT”RIO
SP,PMDB,Senador,ORESTES QUERCIA,588.38,LocaÁ„o/cess„o de bens mÛveis,Outros Recursos nao descritos,Cheque,LOCA«√O DE MOBILI¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,154.00,Encargos financeiros e taxas banc·rias,Outros Recursos nao descritos,DÈbito em conta,
SP,PMDB,Senador,ORESTES QUERCIA,46.48,Encargos financeiros e taxas banc·rias,Outros Recursos nao descritos,DÈbito em conta,
SP,PMDB,Senador,ORESTES QUERCIA,8.00,Encargos financeiros e taxas banc·rias,Outros Recursos nao descritos,DÈbito em conta,
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«OS PRESTADOS
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«OS PRESTADOS
SP,PMDB,Senador,ORESTES QUERCIA,410.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«OS PRESTADOS
SP,PMDB,Senador,ORESTES QUERCIA,359.44,LocaÁ„o/cess„o de bens mÛveis,Outros Recursos nao descritos,Cheque,LOCA«√O DE MOVEIS
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«OS PRESTADOS
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«OS PRESTADOS
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«OS PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,600.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«OS PRESTADOS
SP,PMDB,Senador,ORESTES QUERCIA,600.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«OS PRESTADOS
SP,PMDB,Senador,ORESTES QUERCIA,600.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,410.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRETADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SEVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,527.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,4000.00,"ProduÁ„o de jingles, vinhetas e slogans",Outros Recursos nao descritos,Cheque,IMAGENS GRAFICAS
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERVI«O PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,3064.00,LocaÁ„o/cess„o de bens mÛveis,Outros Recursos nao descritos,Cheque,LOCA«√O DE 16 COMPUTADORES 2 IMPRESSORAS E 16 ESTABILIZADORES
SP,PMDB,Senador,ORESTES QUERCIA,982.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRETADO
SP,PMDB,Senador,ORESTES QUERCIA,2000.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,600.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,705.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,1200.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,3637.50,LocaÁ„o/cess„o de bens imÛveis,Outros Recursos nao descritos,Cheque,CONDOMINIO 01/08
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,982.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SERV. PRESTADO
