E/S,CONTA,SUB-CONTA,CLIENTE/FORNECEDOR,DOCUMENTO,OBSERVAÇÃO,VALOR,VENCIMENTO,PAGAMENTO,STATUS,VALOR PAGO
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 33025,Parcela 3/3,2833.34,12/5/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 33027,Parcela 3/3,531.66,12/5/2021,,EM ABERTO,
SAÍDA,2300 Manejo Sanitário e Reprodutivo,2305 Vacinas,Alvorada,NF 5509,Parcela 3/3,417.60,12/5/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,"NF's 50135, 141 e 142",Parcela 3/3,1086.17,12/5/2021,,EM ABERTO,
SAÍDA,2300 Manejo Sanitário e Reprodutivo,2320 Controle Parasitário,Zoofertil,NF 35209,Parcela 3/5,720.74,12/5/2021,,EM ABERTO,
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,Programa Leilões (04/09/21),Lote V15,Única,65835.00,12/3/2021,,EM ABERTO,
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,Programa Leilões (04/09/21),Lote V16,Única,59850.00,12/3/2021,,EM ABERTO,
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,Programa Leilões (04/09/21),Lote V17,Única,79800.00,12/3/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF's 100623 e 624,Parcela 3/3,796.00,11/29/2021,,EM ABERTO,
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Iguaçu Máquinas,Pedido 07969210,Parcela 2/8,104455.89,11/27/2021,,EM ABERTO,
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,John Deere,Pedido 08205975,Parcela 3/6,30939.00,11/25/2021,,EM ABERTO,
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,LF Leilões (26/08/21),Lote 38,Parcela 3/4,21525.00,11/24/2021,,EM ABERTO,
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Stara Maquinas (Pro Campo),Pedido 3238,Saldo - Parcela 3/3,27000.00,11/20/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,"NF's 377, 399, 400",Parcela 4/4,9974.50,11/18/2021,,EM ABERTO,
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,Programa Leilões (12/09/21),Lote 31,Parcela 3/3,34650.00,11/11/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Centroaço,-,Parcela 2/6,5650.00,11/10/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,"NF's 100869, 870, 871 e 879",Parcela 3/4,3127.93,11/8/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF 100882,Parcela 2/3,1100.00,11/8/2021,,EM ABERTO,
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,LF Leilões (09/08/21),Lote 36,Parcela 3/4,33005.00,11/7/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Sebastião Vieira Mendes,-,Palanques Madeira Vista Formosa,25000.00,11/7/2021,,EM ABERTO,
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2905 Peças de Reposição,Iguaçu Máquinas,NF 176417,Parcela 2/4,1275.96,11/5/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 33019,Parcela 2/2,1325.11,11/5/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 33025,Parcela 2/3,2833.33,11/5/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 33027,Parcela 2/3,531.66,11/5/2021,,EM ABERTO,
SAÍDA,2300 Manejo Sanitário e Reprodutivo,2305 Vacinas,Alvorada,NF 5509,Parcela 2/3,417.60,11/5/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,"NF's 50135, 141 e 142",Parcela 2/3,1086.17,11/5/2021,,EM ABERTO,
SAÍDA,2300 Manejo Sanitário e Reprodutivo,2320 Controle Parasitário,Zoofertil,NF 35209,Parcela 2/5,720.74,11/5/2021,,EM ABERTO,
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,Programa Leilões (04/09/21),Lote L05,Parcela 3/3,61480.00,11/4/2021,,EM ABERTO,
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,Programa Leilões (04/09/21),Lote L25,Parcela 3/3,150700.00,11/4/2021,,EM ABERTO,
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,Programa Leilões (04/09/21),Lote L26,Parcela 3/3,57000.00,11/4/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Elétrica Serpal,NF 881343,Parcela 3/3,2065.93,11/3/2021,,EM ABERTO,
SAÍDA,2400 Suplementação,2410 Concentrados,Bruno Melcher,NF 913,Milho Serra Formosa R$ 76/sc,41470.67,11/1/2021,,PAGO,
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3025 Serviços terceirizados,Automotiva Pneus e Acessorios,NF 6320,Parcela 2/4,239.00,11/1/2021,,PAGO,
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3025 Serviços terceirizados,Automotiva Pneus e Acessorios,NF 5286,Parcela 1/,700.00,11/1/2021,,PAGO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 32438,Parcela 3/3,345.11,11/1/2021,,PAGO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF's 100623 e 624,Parcela 2/3,796.00,10/30/2021,,EM ABERTO,
SAÍDA,2700 Aquisição de Animais,2715 Compra de animais para engorda,Estância Nogueira Leilões (31/08/21),Lote 12,Única,70000.00,10/30/2021,,EM ABERTO,
SAÍDA,2100 Comerciais,2110 Comissões,Estância Nogueira Leilões (31/08/21),Lote 12,-,2450.00,10/30/2021,,EM ABERTO,
SAÍDA,2100 Comerciais,2110 Comissões,Programa Leilões (12/09/21),Lote 31,-,4158.00,10/29/2021,10/29/2021,PAGO,4158.00
SAÍDA,2400 Suplementação,2410 Concentrados,Silvino Alcides Bortolini,NF 1326,Caroço de Algodão - Serra Formosa,45857.50,10/29/2021,10/29/2021,PAGO,45857.50
SAÍDA,3500 Despesas Patrimoniais,3510 Compra de Imobilizado,Agrosb,-,10 Entrada 10% Terras Agropecuária Santa Bárbara,1000000.00,10/29/2021,10/29/2021,PAGO,1000000.00
SAÍDA,3200 Serviços Prestados,3250 Empreiteiros / Pedreiros,Valdeci Gibin,-,Cochos Semi Confinamento Formosa,5000.00,10/29/2021,10/29/2021,PAGO,5000.00
SAÍDA,2700 Aquisição de Animais,2735 Transporte e operações mecanizadas,Transportadora Borba,-,8 Fretes,9500.00,10/29/2021,10/29/2021,PAGO,9500.00
SAÍDA,3200 Serviços Prestados,3220 Transporte e operações mecanizadas,Itacir Gabral Xavier e Cia Ltda,-,Guincho Obra Serra Formosa,927.00,10/29/2021,10/29/2021,PAGO,927.00
SAÍDA,3600 Saídas Diversas,3699 Diversos,Dinizete Ferreira D A Costa,-,-,3000.00,10/29/2021,10/29/2021,PAGO,3000.00
SAÍDA,2100 Comerciais,2110 Comissões,Programa Leilões (31/07/21),-,-,12690.00,10/29/2021,10/29/2021,PAGO,12690.00
SAÍDA,2100 Comerciais,2110 Comissões,Programa Leilões (04/09/21),-,-,21855.88,10/29/2021,10/29/2021,PAGO,21855.88
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,Programa Leilões (31/07/21),Lote 24,Parcela 4/5,63450.00,10/29/2021,10/29/2021,PAGO,63450.00
SAÍDA,2100 Comerciais,2199 Diversos,Associacao Brasileira de Angus,Registro Leilão 21/11/21,Parcela 1/3,25089.34,10/29/2021,10/29/2021,PAGO,25089.34
SAÍDA,3300 Despesas de Viagem,3399 Diversos,Augusto Marsola Pansani,-,Técnico Associacao Brasileira de Angus,2580.00,10/29/2021,10/29/2021,PAGO,2580.00
SAÍDA,3500 Despesas Patrimoniais,3510 Compra de Imobilizado,Marcio Gugelmin,-,-,20000.00,10/29/2021,10/29/2021,PAGO,20000.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Adão Madeiras,Pedido 1262005.1,Única,45118.80,10/29/2021,10/29/2021,PAGO,45118.80
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF ?,Parcela 1/3,1335.00,10/29/2021,10/29/2021,PAGO,1335.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF 33428,Parcela 1/2,371.54,10/29/2021,10/29/2021,PAGO,371.54
SAÍDA,2000 Administrativas,2015 Luz,Energisa,-,"a, b, c, d, e, f, g, h, i",2315.67,10/29/2021,10/29/2021,PAGO,2315.67
SAÍDA,3400 Impostos e Taxas,3445 ITR,Marcelo Gilberti Vuolo,-,Diversos,6750.53,10/29/2021,10/29/2021,PAGO,6750.53
SAÍDA,3100 Pessoal e Encargos Sociais,3130 Exames Médicos,Semet Serviços,-,Exame Admissional,90.00,10/28/2021,10/28/2021,PAGO,90.00
SAÍDA,2300 Manejo Sanitário e Reprodutivo,2335 Medicamento em Geral,Casa do Criador,NF 139090,Parcela 1/5,610.00,10/28/2021,10/28/2021,PAGO,610.00
SAÍDA,2300 Manejo Sanitário e Reprodutivo,2335 Medicamento em Geral,Casa do Criador,NF ?,Parcela 1/3,695.00,10/28/2021,10/28/2021,PAGO,695.00
SAÍDA,2000 Administrativas,2020 Internet / TV,Plugmais,NF 174072,Parcela 4/5,4429.15,10/28/2021,10/28/2021,PAGO,4429.15
SAÍDA,2700 Aquisição de Animais,2720 Compra de animais utilitários,Estância Bahia Leilões,Lote 43 - Leilão Martelo,Parcela 6/6,2480.00,10/28/2021,10/28/2021,PAGO,2480.00
SAÍDA,2700 Aquisição de Animais,2720 Compra de animais utilitários,Estância Bahia Leilões,Lote 52 - Leilão Martelo,Parcela 6/6,1100.00,10/28/2021,10/28/2021,PAGO,1100.00
SAÍDA,2700 Aquisição de Animais,2720 Compra de animais utilitários,Estância Bahia Leilões,Lote 34 - Leilão Martelo,Parcela 6/6,2880.00,10/28/2021,10/28/2021,PAGO,2880.00
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Iguaçu Máquinas,Pedido 7944329,Parcela 2/8,32500.00,10/27/2021,10/27/2021,PAGO,32500.00
SAÍDA,3200 Serviços Prestados,3250 Empreiteiros / Pedreiros,José Marcelo Sanches,-,Área nova Formosa,20000.00,10/27/2021,10/27/2021,PAGO,20000.00
SAÍDA,2500 Cultura de Sorgo,2510 Adubo e fertilizantes,Valloura,-,Parcela 2/3,30000.00,10/27/2021,10/27/2021,PAGO,30000.00
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Iguaçu Máquinas,Pedido 07969210,Parcela 1/8,97500.00,10/27/2021,10/27/2021,PAGO,97500.00
SAÍDA,2400 Suplementação,2410 Concentrados,Mana Cereais,NF 5719,Casquinha de Soja Serra Formosa,43704.60,10/27/2021,10/27/2021,PAGO,43704.60
SAÍDA,2100 Comerciais,2110 Comissões,Estância Bahia Leilões,-,?,20000.00,10/27/2021,10/27/2021,PAGO,20000.00
SAÍDA,3300 Despesas de Viagem,3399 Diversos,Rafael Alberto Leal de Souza,-,Despesas,8000.00,10/27/2021,10/27/2021,PAGO,8000.00
SAÍDA,2300 Manejo Sanitário e Reprodutivo,2305 Vacinas,Alvorada,NF 5850,Parcela 1/3,2833.33,10/27/2021,10/27/2021,PAGO,2833.33
SAÍDA,2400 Suplementação,2405 Suplementação Mineral,Real H - Núcleo de Engorda,NF 19736,Parcela 4/4,13377.44,10/27/2021,10/27/2021,PAGO,13377.44
SAÍDA,2800 Manutenção de Imobilizado,2899 Diversos,Agroferragens Luizão,-,Pendências,3934.02,10/27/2021,10/27/2021,PAGO,3934.02
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Compre Bem - Odagir Schnorr,NF 2936,Parcela 2/2,2976.65,10/26/2021,10/26/2021,PAGO,2976.65
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 33341,Parcela 1/3,345.08,10/26/2021,10/26/2021,PAGO,345.08
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Monte Castelo Materiais para Construção,NF 67363,Parcela 2/4,2007.42,10/26/2021,10/26/2021,PAGO,2007.42
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2905 Peças de Reposição,Podium Comercio Autopeças Ltda,-,Parcela 2/3,933.33,10/26/2021,10/26/2021,PAGO,933.33
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3005 Combustível e lubrificante,Posto Bom Fim Ltda,-,-,1357.22,10/26/2021,10/26/2021,PAGO,1357.22
SAÍDA,2400 Suplementação,2410 Concentrados,Silvino Alcides Bortolini,NF 1308,Caroço de Algodão - Serra Formosa,43225.00,10/26/2021,10/26/2021,PAGO,43225.00
SAÍDA,2300 Manejo Sanitário e Reprodutivo,2325 Insumos para reprodução animal,Semex Brasil,NF 153963,Parcela 8/9,1462.22,10/26/2021,10/26/2021,PAGO,1462.22
SAÍDA,2500 Cultura de Sorgo,2599 Diversos,Alvorada,NF 3269,Parcela 6/6,4000.00,10/26/2021,10/26/2021,PAGO,4000.00
SAÍDA,2400 Suplementação,2405 Suplementação Mineral,Real H - Núcleo de Engorda,NF 19737,Parcela 4/4,13511.02,10/26/2021,10/26/2021,PAGO,13511.02
SAÍDA,2000 Administrativas,2020 Internet / TV,Agrotecnologia Telecomunicações,-,Internet Formosa,550.00,10/26/2021,10/26/2021,PAGO,550.00
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,LF Leilões (26/08/21),Lote 38,Parcela 2/4,21525.00,10/25/2021,10/25/2021,PAGO,21525.00
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,John Deere,Pedido 08205975,Parcela 2/6,30939.00,10/25/2021,10/27/2021,PAGO,30943.38
SAÍDA,2400 Suplementação,2410 Concentrados,Bruno Melcher,NF 903,Milho Vista Formosa R$ 76/sc,42636.00,10/25/2021,10/25/2021,PAGO,42636.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,NF 32325,Parcela 3/3,386.13,10/25/2021,10/25/2021,PAGO,386.13
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,?,Única,1047.00,10/25/2021,10/25/2021,PAGO,1047.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF 101314,Parcela 2/4,6532.00,10/25/2021,10/25/2021,PAGO,6532.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF 101313,Parcela 2/4,4184.00,10/25/2021,10/25/2021,PAGO,4184.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF 99666 e 99665,Parcela 3/3,1730.00,10/25/2021,10/25/2021,PAGO,1730.00
SAÍDA,2400 Suplementação,2405 Suplementação Mineral,Real H - Núcleo de Engorda,NF 19868,Parcela 4/4,45182.48,10/25/2021,10/25/2021,PAGO,45182.48
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3025 Serviços terceirizados,Sena Pneus,NF 331,Parcela 2/2,2100.00,10/23/2021,10/26/2021,PAGO,2100.00
ENTRADA,1000 Recebido de Clientes por Nelore,1005 Cheque,Pâmela Ortolan dos Santos,Lote I009,Parcela 4/4,,10/23/2021,10/23/2021,RECEBIDO,56400.00
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,LF Leilões (23/08/21),Lote 32,Única,44080.00,10/22/2021,10/22/2021,PAGO,44080.00
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,LF Leilões (23/08/21),Lote 33,Única,25240.00,10/22/2021,10/22/2021,PAGO,25240.00
SAÍDA,2100 Comerciais,2110 Comissões,LF Leilões (23/08/21),Lote 32,-,1542.80,10/22/2021,10/22/2021,PAGO,1542.80
SAÍDA,2100 Comerciais,2110 Comissões,LF Leilões (23/08/21),Lote 33,-,883.40,10/22/2021,10/22/2021,PAGO,883.40
SAÍDA,2400 Suplementação,2410 Concentrados,Bruno Melcher,NF 901,Milho Vista Formosa R$ 76/sc,7980.00,10/22/2021,10/22/2021,PAGO,7980.00
SAÍDA,2400 Suplementação,2410 Concentrados,Bruno Melcher,NF 900,Milho Vista Formosa R$ 76/sc,34200.00,10/22/2021,10/22/2021,PAGO,34200.00
SAÍDA,2300 Manejo Sanitário e Reprodutivo,2335 Medicamento em Geral,Alvorada (Soubhiacia Ltda),-,09 Antigeno (160 ds) e 60 Tuberculina (50 ds),17940.00,10/22/2021,10/22/2021,PAGO,17940.00
SAÍDA,2400 Suplementação,2415 Transporte e operações mecanizadas,Valdameri e Valdameri,-,"05 Fretes Milho, 01 Caroço de Algodão e 02 Casquinha de Soja",15500.00,10/22/2021,10/22/2021,PAGO,15500.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,"NF's 100439, 41 e 42",Parcela 3/4,894.85,10/22/2021,10/22/2021,PAGO,894.85
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF 100415,Parcela 2/3,995.00,10/22/2021,10/22/2021,PAGO,995.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF's 99657 e 61,Parcela 3/3,4945.50,10/22/2021,10/22/2021,PAGO,4945.50
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3005 Combustível e lubrificante,Ecodiesel,-,Única,10150.00,10/22/2021,10/26/2021,PAGO,10150.00
SAÍDA,2400 Suplementação,2410 Concentrados,Mana Cereais,-,Casquinha de Soja Serra Formosa,43552.80,10/21/2021,10/21/2021,PAGO,43552.80
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3099 Diversos,Robracon Distribuidora,-,Parcela 3/3,19525.00,10/21/2021,10/21/2021,PAGO,19525.00
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3025 Serviços terceirizados,Aster Máquinas e Soluções,-,Revisão Tratores Vista Formosa,11388.58,10/21/2021,10/21/2021,PAGO,11388.58
SAÍDA,2400 Suplementação,2410 Concentrados,Silvino Alcides Bortolini,NF 1303,Caroço de Algodão - Serra Formosa,45808.75,10/21/2021,10/21/2021,PAGO,45808.75
SAÍDA,3200 Serviços Prestados,3250 Empreiteiros / Pedreiros,Labareda,-,Aterro Serra Formosa,7930.00,10/21/2021,10/21/2021,PAGO,7930.00
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Canova,?,?,403.60,10/21/2021,10/21/2021,PAGO,403.60
SAÍDA,2100 Comerciais,2110 Comissões,Estância Bahia Leilões,Lote P014,Desconto Vacas Mortas,2412.50,10/21/2021,10/21/2021,PAGO,2412.50
SAÍDA,3200 Serviços Prestados,3220 Transporte e operações mecanizadas,Paulo Cezar Coelho,-,Fretes Serra Formosa e Formosa,340.00,10/21/2021,10/21/2021,PAGO,340.00
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Stara Maquinas (Pro Campo),Pedido 3238,Saldo - Parcela 2/3,27000.00,10/20/2021,10/21/2021,PAGO,27000.00
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Stara Maquinas (Pro Campo),Pedido 3239,Saldo - Parcela 2/2,13000.00,10/20/2021,10/21/2021,PAGO,13000.00
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2905 Peças de Reposição,Solumaq L C Maquinas Ltda,-,Única,240.00,10/20/2021,10/20/2021,PAGO,240.00
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2905 Peças de Reposição,Jacto Agrícola,NF 4568,Parcela 2/2,4108.19,10/20/2021,10/20/2021,PAGO,4108.19
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2910 Serviços terceirizados,Iguaçu Máquinas,NF 173609,Parcela 3/3,2052.59,10/20/2021,10/20/2021,PAGO,2052.59
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2910 Serviços terceirizados,Iguaçu Máquinas,NF 183654,Parcela 3/3,144.10,10/20/2021,10/20/2021,PAGO,144.10
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF's 49080 e 81,Parcela 3/3,1649.00,10/20/2021,10/20/2021,PAGO,1649.00
SAÍDA,2700 Aquisição de Animais,2725 Compra de animais reprodutores,GAP Touros,6 Touros Brangus,Parcela 18/18,3180.00,10/20/2021,10/20/2021,PAGO,3180.00
SAÍDA,3400 Impostos e Taxas,3420 DARF,-,-,Serra Formosa,40.22,10/20/2021,10/20/2021,PAGO,40.22
SAÍDA,3400 Impostos e Taxas,3420 DARF,-,-,Formosa,48.00,10/20/2021,10/20/2021,PAGO,48.00
SAÍDA,3400 Impostos e Taxas,3420 DARF,-,-,Vista Formosa,,10/20/2021,10/20/2021,PAGO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,"NF's 49084, 85 e 90",Parcela 3/3,1586.15,10/20/2021,10/20/2021,PAGO,1586.15
SAÍDA,2000 Administrativas,2020 Internet / TV,Brava Internet,-,Serra Formosa,214.40,10/20/2021,10/20/2021,PAGO,214.40
SAÍDA,3100 Pessoal e Encargos Sociais,3165 INSS,GPS,-,Juscimeira,2277.58,10/20/2021,10/20/2021,PAGO,2277.58
SAÍDA,3100 Pessoal e Encargos Sociais,3165 INSS,GPS,-,Formosa,1404.41,10/20/2021,10/20/2021,PAGO,1404.41
SAÍDA,3100 Pessoal e Encargos Sociais,3165 INSS,GPS,-,Vista Formosa,568.88,10/20/2021,10/20/2021,PAGO,568.88
SAÍDA,2400 Suplementação,2405 Suplementação Mineral,Real H - Núcleo de Engorda,NF 20728,Parcela 1/4,12969.71,10/20/2021,10/20/2021,PAGO,12969.71
SAÍDA,2400 Suplementação,2405 Suplementação Mineral,Real H - Núcleo de Engorda,NF 20729,Parcela 1/4,65539.05,10/20/2021,10/21/2021,PAGO,65539.05
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,"NF's 377, 399, 400",Parcela 3/4,9974.50,10/19/2021,,EM ABERTO,
SAÍDA,2100 Comerciais,2110 Comissões,Estância Bahia Leilões,-,Etapa Nelore,20000.00,10/19/2021,10/19/2021,PAGO,20000.00
SAÍDA,2400 Suplementação,2410 Concentrados,Bruno Melcher,NF 894,Milho Serra Formosa R$ 76/sc,43776.00,10/19/2021,10/19/2021,PAGO,43776.00
SAÍDA,2400 Suplementação,2410 Concentrados,Bruno Melcher,NF 896,Milho Serra Formosa R$ 76/sc,44156.00,10/19/2021,10/19/2021,PAGO,44156.00
SAÍDA,3100 Pessoal e Encargos Sociais,3130 Exames Médicos,Especo Aguila Saude Ocupacional Ltda,-,Exame Adimissional Paulo Aparecido Soares,90.00,10/19/2021,10/19/2021,PAGO,90.00
