REGIÃO,ESTADO,DESTINATÁRIO,ORIGEM,FORNECEDOR,MEDICAMENTO,APRESENTAÇÃO,QUANTIDADE,PEDIDO SISMAT,STATUS,DATA DE ENTREGA
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXMEDETOMIDINA,,,,,
NORTE,AMAZONAS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXMEDETOMIDINA,,,,,
NORTE,PARÁ,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXMEDETOMIDINA,,,,,
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXMEDETOMIDINA,,,,,
NORDESTE,PERNAMBUCO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXMEDETOMIDINA,,,,,
SUDESTE,SÃO PAULO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM 5 MG/ML,,,,,
CENTRO-OESTE,MATO GROSSO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM 5 MG/ML,,,,,
NORDESTE,PERNAMBUCO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM 5 MG/ML,,,,,
NORTE,RORAIMA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM 5 MG/ML,,,,,
SUDESTE,SÃO PAULO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,BAHIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,CEARÁ,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,MARANHÃO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,PARAÍBA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,PERNAMBUCO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,PIAUÍ,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORTE,TOCANTINS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
CENTRO-OESTE,MATO GROSSO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,PROPOFOL 10 MG/ML,,,,,
NORTE,AMAPÁ,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,PROPOFOL 10 MG/ML,,,,,
CENTRO-OESTE,MATO GROSSO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,PROPOFOL 10 MG/ML,,,,,
NORDESTE,PARAÍBA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,PROPOFOL 10 MG/ML,,,,,
NORDESTE,SERGIPE,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,PROPOFOL 10 MG/ML,,,,,
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,PROPOFOL 10 MG/ML,,,,,
NORDESTE,PIAUÍ,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,PROPOFOL 10 MG/ML,,,,,
CENTRO-OESTE,MATO GROSSO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,PROPOFOL 10 MG/ML,,,,,
SUDESTE,SÃO PAULO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
SUDESTE,SÃO PAULO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
SUDESTE,SÃO PAULO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,PIAUÍ,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,PARAÍBA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
SUDESTE,SÃO PAULO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM,,,,,
NORDESTE,CEARÁ,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
SUDESTE,SÃO PAULO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
SUDESTE,ESPÍRITO SANTO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
NORTE,RORAIMA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
NORTE,RORAIMA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM,,,,,
NORTE,RORAIMA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
NORDESTE,BAHIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
NORTE,AMAZONAS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
NORDESTE,BAHIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
NORDESTE,PERNAMBUCO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,MARANHÃO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
NORDESTE,PERNAMBUCO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
NORDESTE,MARANHÃO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
NORDESTE,PERNAMBUCO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM,,,,,
CENTRO-OESTE,MATO GROSSO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
CENTRO-OESTE,MATO GROSSO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
CENTRO-OESTE,MATO GROSSO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM,,,,,
NORTE,AMAPÁ,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
NORTE,RONDÔNIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,EUROFARMA LABORATORIOS,DEXMEDETOMIDINA,,,,,
NORTE,PARÁ,SES,REQUISIÇÃO ADMINISTRATIVA,EUROFARMA LABORATORIOS,DEXMEDETOMIDINA,,,,,
NORDESTE,PIAUÍ,SES,REQUISIÇÃO ADMINISTRATIVA,EUROFARMA LABORATORIOS,DEXMEDETOMIDINA,,,,,
NORDESTE,PERNAMBUCO,SES,REQUISIÇÃO ADMINISTRATIVA,EUROFARMA LABORATORIOS,DEXMEDETOMIDINA,,,,,
SUDESTE,SÃO PAULO,SES,REQUISIÇÃO ADMINISTRATIVA,EUROFARMA LABORATORIOS,DEXMEDETOMIDINA,,,,,
CENTRO-OESTE,MATO GROSSO,SES,REQUISIÇÃO ADMINISTRATIVA,EUROFARMA LABORATORIOS,DEXMEDETOMIDINA,,,,,
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISIÇÃO ADMINISTRATIVA,FRESENIUS KABI,PROPOFOL 10 MG/ML,,,,,
NORDESTE,SERGIPE,SES,REQUISIÇÃO ADMINISTRATIVA,FRESENIUS KABI,PROPOFOL 10 MG/ML,,,,,
NORDESTE,ALAGOAS,SES,REQUISIÇÃO ADMINISTRATIVA,FRESENIUS KABI,PROPOFOL 10 MG/ML,,,,,
NORTE,AMAPÁ,SES,REQUISIÇÃO ADMINISTRATIVA,FRESENIUS KABI,PROPOFOL 10 MG/ML,,,,,
NORDESTE,PARAÍBA,SES,REQUISIÇÃO ADMINISTRATIVA,FRESENIUS KABI,PROPOFOL 10 MG/ML,,,,,
NORDESTE,PIAUÍ,SES,REQUISIÇÃO ADMINISTRATIVA,FRESENIUS KABI,PROPOFOL 10 MG/ML,,,,,
NORTE,AMAPÁ,SES,REQUISIÇÃO ADMINISTRATIVA,FRESENIUS KABI,PANCURÔNIO,,,,,
NORDESTE,MARANHÃO,SES,REQUISIÇÃO ADMINISTRATIVA,FRESENIUS KABI,PANCURÔNIO,,,,,
NORDESTE,PIAUÍ,SES,REQUISIÇÃO ADMINISTRATIVA,FRESENIUS KABI,PANCURÔNIO,,,,,
NORTE,RORAIMA,SES,REQUISIÇÃO ADMINISTRATIVA,FRESENIUS KABI,PANCURÔNIO,,,,,
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,BLAU FARMACÊUTICA S/A,SUXAMETÔNIO,,,,,
CENTRO-OESTE,MATO GROSSO,SES,REQUISIÇÃO ADMINISTRATIVA,BLAU FARMACÊUTICA S/A,SUXAMETÔNIO,,,,,
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISIÇÃO ADMINISTRATIVA,BLAU FARMACÊUTICA S/A,SUXAMETÔNIO,,,,,
NORDESTE,PARAÍBA,SES,REQUISIÇÃO ADMINISTRATIVA,BLAU FARMACÊUTICA S/A,SUXAMETÔNIO,,,,,
NORDESTE,PERNAMBUCO,SES,REQUISIÇÃO ADMINISTRATIVA,BLAU FARMACÊUTICA S/A,SUXAMETÔNIO,,,,,
NORDESTE,ALAGOAS,SES,REQUISIÇÃO ADMINISTRATIVA,BLAU FARMACÊUTICA S/A,SUXAMETÔNIO,,,,,
NORDESTE,BAHIA,SES,REQUISIÇÃO ADMINISTRATIVA,BLAU FARMACÊUTICA S/A,SUXAMETÔNIO,,,,,
NORTE,RONDÔNIA,SES,REQUISIÇÃO ADMINISTRATIVA,BLAU FARMACÊUTICA S/A,SUXAMETÔNIO,,,,,
NORTE,RORAIMA,SES,REQUISIÇÃO ADMINISTRATIVA,BLAU FARMACÊUTICA S/A,SUXAMETÔNIO,,,,,
NORTE,PARÁ,SES,REQUISIÇÃO ADMINISTRATIVA,BLAU FARMACÊUTICA S/A,SUXAMETÔNIO,,,,,
NORDESTE,MARANHÃO,SES,REQUISIÇÃO ADMINISTRATIVA,BLAU FARMACÊUTICA S/A,SUXAMETÔNIO,,,,,
NORDESTE,PIAUÍ,SES,REQUISIÇÃO ADMINISTRATIVA,BLAU FARMACÊUTICA S/A,SUXAMETÔNIO,,,,,
SUDESTE,RIO DE JANEIRO,SES,REQUISIÇÃO ADMINISTRATIVA,BLAU FARMACÊUTICA S/A,SUXAMETÔNIO,,,,,
NORTE,AMAPÁ,SES,REQUISIÇÃO ADMINISTRATIVA,BLAU FARMACÊUTICA S/A,SUXAMETÔNIO,,,,,
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM 5 MG/ML,,,,,
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM,,,,,
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM 5 MG/ML,,,,,
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
CENTRO-OESTE,GOIÁS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
NORTE,RONDÔNIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
NORTE,RONDÔNIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
NORTE,RONDÔNIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,PROPOFOL 10 MG/ML,,,,,
NORDESTE,MARANHÃO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
NORTE,RONDÔNIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
NORDESTE,MARANHÃO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORTE,RONDÔNIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,MARANHÃO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORTE,RONDÔNIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,MARANHÃO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORTE,RONDÔNIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,ALAGOAS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM 5 MG/ML,,,,,
NORDESTE,SERGIPE,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM 5 MG/ML,,,,,
NORDESTE,ALAGOAS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM,,,,,
NORDESTE,SERGIPE,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM,,,,,
NORDESTE,ALAGOAS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM 5 MG/ML,,,,,
NORDESTE,SERGIPE,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM 5 MG/ML,,,,,
NORDESTE,ALAGOAS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,PROPOFOL 10 MG/ML,,,,,
NORDESTE,ALAGOAS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
NORDESTE,SERGIPE,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
NORDESTE,ALAGOAS,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
SUDESTE,ESPÍRITO SANTO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
NORDESTE,SERGIPE,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,SERGIPE,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
NORDESTE,SERGIPE,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
SUDESTE,RIO DE JANEIRO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM 5 MG/ML,,,,,
SUDESTE,RIO DE JANEIRO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM,,,,,
SUDESTE,RIO DE JANEIRO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
NORDESTE,BAHIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
CENTRO-OESTE,MATO GROSSO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
SUDESTE,RIO DE JANEIRO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,MIDAZOLAM 5 MG/ML,,,,,
NORDESTE,BAHIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
NORDESTE,BAHIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
SUDESTE,RIO DE JANEIRO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,PROPOFOL 10 MG/ML,,,,,
SUDESTE,RIO DE JANEIRO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
SUL,SANTA CATARINA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,CISATRACÚRIO,,,,,
NORDESTE,BAHIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
CENTRO-OESTE,MATO GROSSO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
NORTE,PARÁ,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
SUDESTE,RIO DE JANEIRO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,ROCURÔNIO,,,,,
NORTE,PARÁ,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
SUDESTE,RIO DE JANEIRO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,FENTANILA,,,,,
