Inadimplencia,Valor,Motivo,Trabalho,Negados,Idade,Genero
1,10000,2,2,1,91,0
1,10000,2,2,1,88,0
0,10000,1,2,0,261.8,0
0,10000,1,2,,17,0
0,10000,2,2,0,20,1
0,10000,2,3,,16,0
0,10000,1,2,1,23,1
0,10000,1,2,,,0
0,10000,1,1,0,16,0
0,10000,2,2,0,21,0
0,10000,1,1,0,136.9,0
0,10000,1,2,1,34,0
0,10000,2,2,2,17,1
0,10000,1,2,1,12,0
0,10000,1,3,0,20,0
0,10000,2,2,0,257.7,0
0,10000,2,2,0,24,0
0,10000,2,2,1,41,1
0,10000,2,2,0,19,1
0,10000,,2,2,185.7,1
0,10000,2,2,0,72,0
0,10000,2,2,0,14,0
0,10000,2,2,0,25,1
0,10000,2,3,0,18,1
0,10000,2,2,2,398.8,0
1,10000,1,2,0,31.4,0
1,10000,,3,3,23,1
1,10000,1,2,2,186,0
1,10000,1,2,1,97.4,0
1,10000,1,3,0,20,0
1,10000,2,2,1,80.1,0
1,10000,2,2,0,17,0
1,10000,1,3,,,0
1,10000,1,1,0,80.1,0
1,10000,2,2,0,20,0
1,10000,2,2,3,19,0
1,10000,1,2,2,194.8,0
1,10000,1,3,0,79.1,1
1,10000,2,0,0,32,0
1,10000,2,2,0,275.9,0
1,10000,2,2,0,26,1
1,10000,1,3,10,20,0
1,10000,1,1,1,15,0
1,10000,1,2,4,132.9,0
1,10000,1,2,0,15,0
1,10000,1,2,0,26,0
1,10000,1,3,1,12,1
1,10000,,2,5,20,1
1,10000,2,2,0,285.1,1
1,10000,1,2,2,10,0
1,10000,2,3,3,12,0
1,10000,2,2,0,112.6,0
1,10000,1,1,0,90.3,0
1,10000,,2,0,28,0
0,10000,1,2,1,3,0
0,10000,,1,1,10,0
0,10000,1,3,1,42,0
1,10000,2,2,0,11,0
0,10000,2,2,0,20,0
0,10000,1,1,1,1,0
0,10000,2,2,,,0
0,10000,1,2,0,84,0
0,10100,1,1,0,12,1
0,10100,1,2,1,23,0
0,10100,,3,0,21,0
0,10100,1,2,0,6,0
0,10100,2,1,1,20,1
1,10100,2,2,0,122.3,0
0,10100,1,2,0,13,0
0,10100,2,1,0,73,0
0,10100,1,2,0,66,1
0,10100,1,1,4,2,0
0,10100,1,2,3,18,1
1,10100,1,2,4,12,0
0,10100,1,2,,1,0
0,10100,1,2,0,77,0
0,10100,2,2,1,25,0
0,10100,1,2,0,91,0
0,10100,1,3,0,20,0
0,10100,1,2,0,17,0
0,10100,2,2,0,19,0
0,10100,1,2,1,24,0
0,10100,1,1,0,99,0
0,10100,2,2,0,85,0
0,10100,1,1,0,206,0
0,10100,2,1,0,18,0
0,10100,2,3,,,0
0,10200,1,0,0,19,0
0,10200,1,1,,,0
0,10200,2,2,0,2,1
0,10200,,2,,15,0
1,10200,1,2,8,12,1
0,10200,,2,0,10,0
0,10200,,2,0,19,0
0,10200,1,2,,11,1
0,10200,2,1,0,23,1
0,10200,1,2,0,10,0
1,10200,1,2,3,11,0
0,10200,1,2,0,10,0
0,10200,1,2,,12,0
0,10200,1,2,2,17,1
0,10200,1,1,0,11,1
0,10200,2,1,0,36,1
0,10200,1,2,0,11,1
1,10200,1,2,1,89,0
0,10200,1,2,0,1,0
0,10200,2,1,0,16,0
0,10200,1,1,,,0
0,10200,2,2,0,14,0
0,10200,1,2,0,92,1
1,10200,1,1,0,14,1
0,10200,1,2,0,25,0
0,10200,1,2,0,15,1
0,10200,2,3,0,16,0
0,10200,1,1,1,18,1
0,10200,1,1,0,21,0
0,10200,1,2,0,9,0
0,10200,1,2,0,34,0
0,10300,2,2,0,25,1
1,10300,2,3,0,58,0
0,10300,2,2,1,18,0
0,10300,2,2,0,20,0
0,10300,1,2,0,87,1
0,10300,2,3,0,38,0
0,10300,2,2,0,18,0
0,10300,2,1,0,85,0
0,10300,1,2,,16,0
0,10300,2,2,0,16,1
0,10300,1,1,0,19,0
0,10300,1,2,0,21,1
0,10300,2,3,0,13,0
0,10300,1,2,1,10,0
0,10300,1,2,0,15,0
0,10300,1,1,0,22,0
0,10300,1,2,0,82,0
0,10300,2,2,3,18,0
0,10300,1,1,0,22,1
0,10300,2,2,0,2,0
1,10300,1,3,1,99,0
0,10300,2,2,0,30,1
0,10300,1,2,0,85,0
0,10400,2,2,0,1,0
0,10400,1,3,0,24,0
0,10400,2,3,0,47,1
0,10400,1,2,0,26,0
0,10400,1,3,0,19,0
0,10400,2,2,,,1
0,10400,1,2,0,24,1
0,10400,,1,3,18,0
0,10400,2,2,0,88,0
0,10400,1,2,1,17,0
1,10400,1,0,0,13,1
0,10400,1,2,0,23,1
0,10400,1,1,0,16,0
1,10400,2,2,0,10,0
0,10400,1,2,0,16,0
0,10400,2,2,1,39,0
0,10500,1,1,0,30,1
0,10500,1,1,0,12,0
0,10500,1,2,0,15,1
0,10500,1,1,0,18,0
0,10500,2,0,0,66,0
0,10500,2,2,0,36,0
0,10500,1,2,0,25,1
0,10500,2,1,1,15,0
0,10500,2,1,0,20,0
0,10500,2,2,0,83,0
0,10500,1,1,0,18,0
1,10500,1,1,0,94,1
0,10500,1,2,2,30,0
0,10500,1,1,0,15,1
1,10500,1,3,,,0
0,10500,1,2,0,13,0
1,10500,1,3,1,70,0
0,10500,1,2,0,24,0
0,10500,2,2,0,97,1
1,10500,1,1,,120.8,0
0,10500,1,2,0,84,0
0,10500,,2,0,89,1
0,10500,1,2,0,1,0
1,10500,2,2,0,10,0
0,10500,1,3,0,11,0
0,10500,2,2,0,2,1
0,10500,2,3,,,1
0,10500,1,1,0,23,1
0,10600,1,2,0,10,0
0,10600,1,3,,,0
0,10600,,1,0,64,1
0,10600,2,2,1,14,1
0,10600,1,2,,,0
0,10600,1,1,0,17,0
0,10600,2,2,0,77,1
1,10600,1,1,4,87,1
0,10600,2,2,0,85,0
0,10600,2,3,0,24,0
0,10600,1,1,0,17,0
0,10600,1,1,0,16,1
0,10600,2,2,0,12,0
0,10600,2,0,0,95,1
0,10600,1,1,0,23,0
1,10600,1,2,0,22,0
1,10600,1,2,0,90,1
0,10600,2,2,0,10,1
0,10600,2,3,0,68,0
0,10600,1,2,0,19,0
0,10600,1,2,0,84,0
0,10600,1,1,0,11,0
0,10600,1,2,0,24,0
0,10600,1,3,3,1,0
0,10600,1,2,0,92,0
0,10600,2,2,1,1,1
0,10600,2,2,0,11,0
0,10600,1,3,0,54,0
0,10600,2,2,0,24,1
0,10600,1,2,,17,0
0,10600,2,0,0,1,0
0,10600,1,2,0,98,0
0,10600,2,2,2,18,0
0,10600,1,2,0,11,1
0,10700,1,2,0,66,0
0,10700,1,2,0,21,1
0,10700,1,2,0,22,0
0,10700,1,2,0,18,0
0,10700,2,2,0,13,1
0,10700,2,3,0,22,0
0,10700,1,3,1,19,1
1,10700,1,2,0,46,1
0,10700,2,2,1,10,0
0,10700,1,2,0,13,0
0,10700,2,3,0,223.2,0
1,10700,1,1,0,16,1
1,10700,1,2,0,230.3,0
0,10700,2,3,0,12,1
1,10700,1,2,0,73.6,1
0,10700,1,2,0,95,0
0,10700,2,1,2,18,0
0,10700,1,2,0,19,1
0,10700,1,2,0,17,1
0,10700,2,3,1,1,0
0,10700,2,2,,11,0
0,10700,2,2,0,20,1
0,10700,1,3,1,14,0
0,10800,1,1,0,23,1
1,10800,1,3,0,97,0
0,10800,1,2,0,27,1
0,10800,1,3,,,0
1,10800,2,2,1,17,0
0,10800,1,3,0,268.9,1
0,10800,,2,2,17,0
0,10800,1,2,2,20,0
0,10800,1,1,1,12,1
0,10800,2,2,0,21,0
0,10800,1,2,,,0
0,10800,2,2,0,11,0
0,10800,2,1,0,17,0
1,10800,1,2,3,32,0
0,10800,1,2,,,0
1,10800,1,2,0,10,0
1,10800,1,2,0,11,0
0,10800,1,3,0,10,0
0,10800,,2,0,16,0
1,10800,2,2,0,75,1
0,10800,1,3,0,17,0
0,10800,1,3,0,17,0
0,10800,1,1,0,30,0
0,10800,2,2,0,94,1
1,10800,2,2,0,17,0
0,10800,1,1,,14,0
0,10800,1,2,0,11,1
0,10800,1,3,0,58,1
0,10800,1,2,0,89,1
0,10800,2,2,1,3,1
0,10800,1,2,,,0
0,10800,1,1,0,68,0
0,10800,2,3,0,22,0
1,10900,2,2,2,10,1
0,10900,2,2,,11,0
0,10900,1,2,,,0
0,10900,1,2,1,19,0
0,10900,1,2,0,24,0
1,10900,1,0,0,59,1
0,10900,,1,0,34,0
0,10900,2,3,1,4,0
0,10900,2,3,0,22,0
0,10900,2,2,,,0
0,10900,2,2,1,18,0
0,10900,1,2,0,23,0
0,10900,1,1,0,17,0
0,10900,1,2,0,72,1
1,10900,2,0,1,78,0
0,11000,1,0,0,25,1
0,11000,1,3,0,22,0
0,11000,1,2,0,10,1
1,11000,1,2,1,12,0
0,11000,1,1,0,17,0
0,11000,1,3,0,24,1
0,11000,1,1,0,1,1
0,11000,1,2,0,20,1
0,11000,1,2,0,21,0
0,11000,2,3,0,24,1
0,11000,2,2,0,24,0
0,11000,1,3,0,88,0
0,11000,1,2,1,90,1
1,11000,2,2,0,35,0
0,11000,1,3,1,31,0
1,11000,1,2,0,17,0
1,11000,1,3,2,91,1
0,11000,2,2,0,277,0
0,11000,1,2,1,10,0
0,11000,1,2,0,10,1
0,11000,1,2,0,24,0
0,11000,1,2,0,125.8,0
0,11000,1,2,0,17,0
1,11000,2,3,1,115.6,1
1,11000,2,2,0,21,0
1,11000,1,2,0,12,0
1,11000,2,2,0,101.5,0
1,11000,1,1,5,12,1
1,11000,1,2,,,0
1,11000,2,2,0,116.7,1
1,11000,1,1,0,13,0
0,11000,1,2,0,44,0
0,11000,2,2,1,18,1
0,11000,1,1,0,32,0
0,11000,2,3,0,25,0
0,11000,2,2,1,24,0
0,11000,1,2,2,84,1
0,11000,1,2,0,15,0
0,11000,2,2,0,67,0
0,11000,2,1,0,11,0
0,11000,1,2,0,19,0
1,11000,1,1,2,19,1
0,11000,1,2,0,13,0
0,11000,2,2,0,20,1
1,11000,1,2,3,9.1,1
0,11000,2,2,0,30,0
0,11000,1,3,1,23,0
0,11100,1,2,1,22,0
0,11100,2,2,,10,1
0,11100,2,1,,17,0
1,11100,1,2,2,19,0
0,11100,2,2,1,17,0
0,11100,1,3,0,10,1
0,11100,2,2,2,40,1
1,11100,2,2,0,,0
0,11100,1,1,1,16,0
0,11100,1,2,0,89,0
0,11100,1,3,0,10,0
0,11100,2,2,0,90,0
0,11100,2,1,0,36,0
1,11100,2,2,0,1,0
0,11100,2,2,1,25,1
0,11100,1,2,1,24,0
0,11100,2,2,0,11,0
0,11100,,2,0,18,0
1,11100,2,2,1,93,1
0,11100,2,1,0,16,0
0,11100,1,2,0,23,0
0,11100,2,3,,,0
0,11100,2,2,0,12,0
0,11100,1,3,0,13,0
0,11100,,2,0,21,0
0,11100,,3,0,10,0
0,11100,2,2,0,19,0
0,11100,2,2,1,22,0
0,11100,1,2,1,80,0
0,11100,2,2,0,80,1
0,11200,2,1,1,15,0
0,11200,1,2,0,15,1
0,11200,1,2,0,20,0
0,11200,1,2,0,22,0
0,11200,1,2,0,17,0
0,11200,1,2,0,2,1
0,11200,1,2,0,25,0
0,11200,2,2,0,26,1
1,11200,1,1,0,21,1
0,11200,2,2,0,14,0
1,11200,1,2,0,12,1
0,11200,1,1,0,22,0
0,11200,1,2,0,15,0
0,11200,2,1,0,186,0
1,11200,2,2,1,12,0
0,11200,1,2,,16,1
0,11200,1,2,1,39,0
0,11300,2,2,0,91,0
0,11300,1,2,1,33,0
0,11300,2,2,0,88,0
0,11300,1,3,0,98,1
0,11300,1,2,0,35,1
0,11300,2,3,0,1,0
0,11300,1,1,2,17,1
0,11300,1,2,0,22,0
0,11300,2,2,0,14,0
0,11300,1,2,1,35,0
0,11300,2,1,0,19,0
0,11300,2,1,1,12,0
0,11300,1,2,0,19,0
1,11300,2,2,0,91,1
1,11300,1,2,1,52.8,0
0,11300,2,1,3,17,1
0,11300,2,2,2,40,0
0,11300,2,2,0,11,1
0,11300,1,1,0,13,0
1,11300,1,2,3,29,0
1,11300,1,2,,,0
0,11300,2,3,0,11,1
0,11300,2,2,,,0
0,11300,2,2,0,85,1
0,11400,2,2,0,20,1
0,11400,1,2,0,88,0
0,11400,,1,0,14,0
0,11400,2,2,0,21,0
0,11400,2,1,0,96,0
0,11400,2,2,0,23,1
0,11400,1,2,0,35,0
0,11400,1,3,0,11,0
0,11400,1,2,0,12,1
0,11400,1,2,0,99,0
0,11400,2,2,,16,0
0,11400,2,2,0,20,0
0,11400,2,2,1,22,1
0,11400,1,1,0,34,1
0,11400,2,2,0,27,0
0,11400,2,3,0,44,1
0,11400,2,1,0,19,1
0,11400,2,1,0,18,0
0,11400,1,2,2,19,1
0,11500,2,2,0,20,1
0,11500,1,2,0,26,1
0,11500,1,2,0,19,0
0,11500,2,1,0,13,0
0,11500,2,2,1,19,0
0,11500,,1,0,13,0
0,11500,2,2,0,16,1
0,11500,2,1,0,26,0
0,11500,1,3,0,17,1
0,11500,2,2,1,16,1
1,11500,1,2,0,129.7,0
1,11500,1,1,0,89.4,0
1,11500,1,1,,,0
1,11500,1,2,1,17,0
0,11500,1,1,0,16,1
0,11500,1,2,,14,1
0,11500,1,1,0,61,1
0,11500,1,1,1,20,1
0,11500,1,3,0,35,0
0,11500,1,1,1,31,1
0,11500,2,2,1,10,1
0,11600,1,1,0,,0
0,11600,2,2,3,20,0
0,11600,1,2,0,2,0
1,11600,1,2,2,17,1
1,11600,1,2,0,9,1
0,11600,1,1,1,22,1
0,11600,1,3,0,12,1
0,11600,2,2,0,8,1
0,11600,1,2,0,78,0
1,11600,1,3,0,34,0
1,11600,1,2,1,30,1
0,11600,1,2,0,17,0
0,11600,1,2,0,1,0
0,11600,1,2,0,23,1
0,11600,1,1,0,2,1
0,11600,1,2,0,15,1
0,11600,1,2,0,25,1
0,11600,,2,0,34,1
0,11600,,3,0,152,0
0,11600,1,3,1,93,0
0,11700,,2,0,12,0
1,11700,2,2,4,20,1
0,11700,2,1,0,12,0
0,11700,2,2,0,19,0
0,11700,2,2,0,17,0
1,11700,2,2,2,80,0
1,11700,1,2,1,12,1
0,11700,2,2,0,19,0
0,11700,1,2,0,23,0
0,11700,2,2,0,74,0
0,11700,2,2,,,0
0,11700,1,2,0,,0
0,11700,2,1,0,23,0
0,11700,1,2,0,37,1
1,11700,,2,0,80.1,0
1,11700,1,2,0,21,0
1,11700,1,2,0,16,1
0,11700,1,1,,,1
0,11700,1,2,0,11,0
0,11700,1,2,0,24,1
0,11700,1,2,2,37,0
0,11700,1,2,0,19,1
0,11700,1,2,0,69,0
0,11700,,0,0,19,1
0,11700,1,1,2,17,0
0,11700,2,3,2,19,0
0,11700,1,2,0,21,0
0,11700,1,3,,17,0
1,11800,2,2,0,11,0
0,11800,1,2,0,18,0
0,11800,1,2,0,16,1
0,11800,1,2,0,10,0
1,11800,2,1,7,12,0
0,11800,1,3,0,35,0
0,11800,1,1,1,10,0
0,11800,2,2,0,74,0
0,11800,2,3,0,10,0
0,11800,2,2,0,25,0
0,11800,1,2,0,25,0
0,11800,1,1,0,14,0
0,11800,1,2,1,17,0
0,11800,2,2,0,82,1
0,11800,1,2,0,23,0
0,11800,1,2,0,3,0
0,11800,1,2,0,17,0
0,11800,1,2,,12,0
0,11800,1,3,2,19,0
0,11800,2,1,0,17,1
0,11900,2,3,0,243.5,0
1,11900,1,2,0,182.6,0
0,11900,1,2,0,12,1
0,11900,1,2,0,11,0
0,11900,1,2,1,17,0
1,11900,2,1,0,60,0
0,11900,2,2,0,11,0
0,11900,1,3,1,81,0
0,11900,2,2,0,23,0
0,11900,1,1,,,0
0,11900,1,3,0,23,1
0,11900,2,2,0,23,0
0,11900,1,2,1,1,0
1,11900,2,1,0,69,0
1,11900,1,2,0,123.6,1
0,11900,2,2,0,2,1
0,11900,1,2,0,2,0
0,11900,2,2,1,82,0
1,11900,1,2,0,1,0
0,11900,1,1,0,23,0
0,11900,2,2,1,19,0
0,11900,2,2,0,25,0
1,11900,1,2,,,0
0,11900,2,2,0,79,0
0,11900,1,2,0,12,0
0,11900,2,2,1,18,0
0,11900,1,1,0,92,1
0,11900,1,2,0,25,0
0,12000,2,1,0,13,0
0,12000,1,2,,,0
0,12000,2,2,0,98,0
0,12000,,2,0,11,0
0,12000,1,0,0,83,1
0,12000,2,2,0,10,0
0,12000,1,3,1,10,0
0,12000,2,1,0,15,1
0,12000,1,2,0,34,0
0,12000,1,2,0,23,1
0,12000,2,2,0,25,0
1,12000,1,2,2,2,1
0,12000,2,2,1,91,1
0,12000,1,2,0,10,0
0,12000,2,2,0,15,1
1,12000,2,2,0,9,1
0,12000,1,1,1,125,0
0,12000,1,3,2,19,0
1,12000,2,2,2,14,1
1,12000,2,3,0,115.9,0
1,12000,2,1,1,16,0
1,12000,1,3,2,21,0
0,12000,1,2,0,26,0
0,12000,2,2,0,126.8,0
0,12000,1,3,0,176.5,0
0,12000,2,2,2,15,0
0,12000,1,2,0,17,0
0,12000,2,3,0,14,0
0,12000,1,2,0,189.7,1
0,12000,1,1,1,20,1
0,12000,2,1,0,264.8,1
0,12000,1,2,0,,1
0,12000,1,1,0,14,1
0,12000,1,1,0,78,0
0,12000,1,2,0,199.9,1
0,12000,,2,0,12,1
0,12000,2,2,3,153.5,0
0,12000,1,2,0,172.5,0
0,12000,1,1,0,200.9,0
0,12000,1,1,0,11,1
0,12000,2,2,0,136,1
0,12000,1,2,0,23,1
1,12000,1,0,,,1
0,12000,1,3,2,14,1
0,12000,2,1,0,21,0
1,12000,1,3,8,19,0
1,12000,1,1,0,99,1
1,12000,1,2,0,247.5,0
1,12000,1,1,0,95,0
1,12000,2,2,,105.5,0
1,12000,2,2,0,15,0
1,12000,1,3,1,71,0
1,12000,1,1,4,123.1,0
1,12000,1,2,2,21,1
1,12000,2,1,1,65,1
1,12000,,2,5,22,0
1,12000,1,2,0,137,0
1,12000,1,2,1,11,1
0,12000,1,1,0,14,1
1,12000,2,1,1,18,1
0,12000,2,2,0,2,1
0,12000,1,2,0,19,0
0,12000,1,2,0,35,1
0,12000,,0,0,20,0
0,12000,1,2,0,79,0
0,12000,1,2,0,25,0
1,12000,2,2,0,12,0
1,12000,1,2,0,27,1
0,12000,2,2,1,18,1
0,12100,2,1,0,20,0
0,12100,1,3,2,19,0
0,12100,1,2,1,23,0
1,12100,1,1,0,67,0
0,12100,2,1,0,26,0
0,12100,2,2,3,15,1
0,12100,2,2,0,26,0
1,12100,2,1,,10,0
0,12100,1,2,2,15,1
0,12100,2,3,0,17,1
0,12100,1,3,0,25,0
0,12100,1,2,0,16,0
0,12100,1,0,,12,0
1,12100,1,2,0,167.4,1
0,12100,2,2,0,11,0
0,12100,1,2,0,10,1
1,12100,1,3,0,155.2,0
0,12100,1,2,0,3,1
0,12100,1,2,0,,0
0,12100,1,2,0,12,0
0,12100,1,1,0,10,0
0,12100,1,1,3,17,1
0,12100,,3,0,27,0
0,12100,1,1,0,2,0
0,12100,2,2,0,12,0
0,12100,2,2,,17,0
0,12100,1,2,2,13,0
0,12100,1,2,,,0
0,12100,2,2,0,11,1
0,12100,1,3,0,22,0
0,12100,1,2,0,20,0
0,12200,1,2,0,23,0
0,12200,1,2,0,25,0
0,12200,1,2,0,16,1
0,12200,1,2,0,23,0
0,12200,2,1,0,42,1
0,12200,1,2,0,79,0
1,12200,1,0,0,15,0
0,12200,1,2,0,173.5,0
0,12200,2,1,1,23,1
0,12200,2,2,0,24,1
0,12200,2,2,0,21,0
0,12200,1,0,0,22,1
0,12200,2,2,0,1,0
0,12200,1,1,0,35,0
0,12200,1,2,0,23,0
1,12200,2,3,0,16,0
0,12200,1,0,0,23,1
0,12200,1,2,0,19,0
0,12200,2,1,1,13,0
0,12300,1,2,0,17,0
0,12300,1,2,1,17,0
0,12300,1,2,0,12,0
1,12300,1,2,0,17,1
0,12300,1,2,0,13,0
0,12300,1,2,1,21,1
0,12300,2,3,1,25,0
1,12300,1,2,1,8,0
0,12300,1,2,1,1,0
0,12300,1,2,0,21,0
0,12300,2,2,0,24,0
0,12300,2,1,,16,0
1,12300,1,3,0,14,0
1,12300,1,2,,18,0
1,12300,2,2,2,23,1
1,12300,2,2,4,21,0
0,12300,2,2,0,2,0
0,12300,1,2,0,1,0
0,12300,1,2,0,19,0
0,12300,1,2,0,82,1
0,12300,1,2,0,13,0
0,12300,1,2,0,20,1
0,12300,2,1,0,1,1
0,12300,2,2,0,11,0
0,12300,1,2,0,18,1
0,12300,1,1,1,1,1
0,12300,1,2,0,15,0
0,12300,2,2,1,40,0
0,12300,1,2,2,1,0
1,12300,1,1,,,0
1,12300,2,2,1,17,1
0,12300,2,2,0,12,0
1,12300,1,2,1,23,0
0,12400,1,2,1,3,0
0,12400,,2,0,24,0
0,12400,1,2,0,74,0
0,12400,1,2,1,43,0
1,12400,2,1,1,70,0
0,12400,,2,0,25,0
0,12400,2,2,0,21,0
0,12400,2,2,0,12,0
0,12400,1,1,0,18,0
0,12400,2,2,0,26,0
0,12400,2,2,0,,0
1,12400,1,2,0,,1
0,12400,1,2,0,28,0
0,12400,1,2,0,2,1
1,12400,,2,0,13,0
0,12400,1,2,0,14,0
1,12400,1,2,0,76,0
0,12400,1,2,0,34,1
0,12400,1,1,,,0
0,12400,1,1,0,23,0
0,12400,1,2,0,95,1
0,12500,2,2,1,13,1
0,12500,1,2,1,12,0
1,12500,2,2,7,14,0
0,12500,1,2,0,20,1
0,12500,1,2,1,36,1
0,12500,2,2,0,13,0
0,12500,2,2,1,32,0
0,12500,1,2,0,15,1
0,12500,2,1,0,30,0
0,12500,1,2,0,71,1
0,12500,1,3,0,25,0
0,12500,2,2,,1,0
1,12500,1,3,0,70.9,0
1,12500,2,2,0,77,0
1,12500,1,3,1,11,0
0,12500,2,2,0,17,0
0,12500,1,2,0,74,0
1,12500,1,0,5,18,1
1,12500,1,2,0,28,0
1,12500,2,2,6,22,1
0,12500,1,2,0,26,0
0,12500,1,2,0,1,0
0,12500,1,3,0,24,0
0,12500,2,2,2,17,0
0,12500,1,3,0,14,0
0,12500,1,2,1,10,0
0,12500,2,1,0,19,0
0,12500,1,2,0,2,0
0,12500,1,2,,,0
0,12500,1,3,0,309.4,0
0,12500,1,3,3,1,1
0,12500,1,2,,,1
0,12600,1,1,0,1,1
0,12600,2,2,0,14,0
1,12600,,2,1,20,0
1,12600,2,1,0,98,0
0,12600,1,2,0,10,0
0,12600,1,2,0,20,0
0,12600,1,1,2,19,0
0,12600,1,2,1,3,0
1,12600,1,3,,89,0
1,12600,1,1,0,11,1
0,12600,1,3,0,20,1
0,12600,2,2,0,12,1
0,12600,1,2,1,17,1
0,12600,,2,0,87.2,1
1,12600,1,1,0,58.7,0
0,12600,1,2,0,26,0
0,12600,1,1,2,1,1
0,12600,2,2,3,19,0
0,12600,1,2,0,13,0
0,12600,,3,0,11,0
0,12600,2,2,0,12,0
0,12600,2,2,0,11,1
0,12600,2,2,0,16,0
0,12600,1,1,0,1,1
0,12700,2,2,0,24,0
0,12700,2,2,0,22,0
0,12700,1,1,0,19,0
0,12700,1,1,0,79,1
0,12700,2,2,3,1,0
0,12700,1,2,0,30,0
0,12700,2,2,0,78,0
1,12700,2,2,0,16,0
