Tribunal,Magistrado,MÍs/Ano Ref.,Subsidio ,Direitos Pessoais ,IndenizaÁıes ,Direitos Eventuais ,Total de Rendimentos ,PrevidÍncia P˙blica ,Imposto de Renda ,Descontos Diversos ,RetenÁ„o por Teto Constitucional ,Total de Descontos ,Rendimento LÌquido 
TRF2,CARLA TERESA BONFADINI DE SA,dez/20,33689.11,0.00,1340.08,7299.31,42328.50,5498.01,8424.35,0.00,1695.10,15617.46,26711.04
TRF2,CARLOS ADRIANO MIRANDA BANDEIRA,dez/20,32004.65,0.00,910.08,11710.86,44625.59,5199.30,8506.49,11886.86,4422.19,30014.84,14610.75
TRF2,CARLOS ALEXANDRE BENJAMIN,dez/20,33689.11,0.00,910.08,4866.20,39465.39,5498.01,8169.26,0.00,0.00,13667.27,25798.12
TRF2,CARLOS DAVID SANTOS AARAO REIS,dez/20,33689.11,0.00,0.00,166035.23,199724.34,4784.92,39696.59,0.00,0.00,44481.51,155242.83
TRF2,CARLOS FERREIRA DE AGUIAR,dez/20,32004.65,0.00,910.08,4492.51,37407.24,5273.98,7717.01,0.00,0.00,12990.99,24416.25
TRF2,CARLOS GUILHERME FRANCOVICH LUGONES,dez/20,33689.11,0.00,910.08,190146.22,224745.41,10069.23,32240.37,0.00,1695.10,44004.70,180740.71
TRF2,CARMEN SILVIA LIMA DE ARRUDA,dez/20,33689.11,0.00,910.08,186134.72,220733.91,10045.72,43785.02,0.00,0.00,53830.74,166903.17
TRF2,CAROLINE MEDEIROS E SILVA,dez/20,33689.11,0.00,1125.08,6550.65,41364.84,5498.01,8372.21,0.00,946.44,14816.66,26548.18
TRF2,CAROLINE SOMESOM TAUK,dez/20,32004.65,0.00,1125.08,0.00,33129.73,713.10,7130.31,0.00,0.00,7843.41,25286.32
TRF2,CAROLINE VIEIRA FIGUEIREDO,dez/20,32004.65,0.00,1340.08,4751.42,38096.15,713.10,8436.95,0.00,0.00,9150.05,28946.10
TRF2,CASSIO MURILO MONTEIRO GRANZINOLI,dez/20,33689.11,1162.15,1555.08,11416.85,47823.19,713.10,9016.02,0.00,6974.79,16703.91,31119.28
TRF2,CELIA GEORGAKOPOULOS,dez/20,35462.22,0.00,0.00,0.00,35462.22,5121.81,6950.65,0.00,0.00,12072.46,23389.76
TRF2,CELSO ARAUJO SANTOS,dez/20,32004.65,0.00,1770.08,7695.62,41470.35,713.10,8983.65,0.00,908.51,10605.26,30865.09
TRF2,CESAR MANUEL GRANDA PEREIRA,dez/20,32004.65,0.00,2744.71,0.00,34749.36,713.10,7078.18,0.00,0.00,7791.28,26958.08
TRF2,CLAUDIA MARIA PEREIRA BASTOS NEIVA,dez/20,35462.22,0.00,910.08,210516.12,246888.42,10445.95,47437.31,0.00,8974.70,66857.96,180030.46
TRF2,CLAUDIA VALERIA BASTOS FERNANDES D DE MELLO,dez/20,33689.11,6562.81,2059.70,74239.40,116551.02,8540.09,21455.38,0.00,6561.30,36556.77,79994.25
TRF2,CLELIO ERTHAL,dez/20,35462.22,0.00,0.00,219935.33,255397.55,5121.81,55698.50,0.00,0.00,60820.31,194577.24
TRF2,CLEYDE MUNIZ DA SILVA CARVALHO,dez/20,33689.11,0.00,910.08,12165.50,46764.69,5498.01,8424.35,0.00,6561.29,20483.65,26281.04
TRF2,CONSTANTINO ALVES DE OLIVEIRA,dez/20,33689.11,0.00,0.00,172783.18,206472.29,4784.92,-33964.49,0.00,0.00,-29179.57,235651.86
TRF2,CRISTIANE CONDE CHMATALIK,dez/20,33689.11,0.00,1770.08,12165.50,47624.69,5498.01,8424.35,0.00,6561.29,20483.65,27141.04
TRF2,CYNTHIA LEITE MARQUES,dez/20,33689.11,13464.49,910.08,12165.51,60229.19,6562.81,9936.30,0.00,13462.98,29962.09,30267.10
TRF2,DANIELA BERWANGER MARTINS,dez/20,32004.65,0.00,910.08,6945.26,39859.99,713.10,8694.99,0.00,1255.54,10663.63,29196.36
TRF2,DANIELA MILANEZ,dez/20,33689.11,0.00,910.08,7673.63,42272.82,5498.01,8424.35,0.00,2069.42,15991.78,26281.04
TRF2,DANIELA PEREIRA MADEIRA,dez/20,33689.11,0.00,910.08,0.00,34599.19,5498.01,6883.19,0.00,0.00,12381.20,22217.99
TRF2,DANIELLA ROCHA SANTOS FERREIRA DE SOUZA MOTTA,dez/20,33689.11,0.00,1555.08,12165.51,47409.70,5498.01,8424.35,0.00,6561.30,20483.66,26926.04
TRF2,DARIO RIBEIRO MACHADO JUNIOR,dez/20,33689.11,0.00,1340.08,10668.21,45697.40,5498.01,8424.35,0.00,5064.00,18986.36,26711.04
TRF2,D…BORA MALIKI MENAGED,dez/20,33689.11,0.00,910.08,1920.87,36520.06,5655.20,6883.19,0.00,0.00,12538.39,23981.67
TRF2,DEBORA VALLE DE BRITO,dez/20,32004.65,0.00,1125.08,9365.56,42495.29,713.10,9277.17,11886.86,2076.89,23954.02,18541.27
TRF2,DIMITRI VASCONCELOS WANDERLEY,dez/20,32004.65,0.00,2274.70,10976.88,45256.23,5252.64,8198.44,0.00,4755.04,18206.12,27050.11
TRF2,EDNA CARVALHO KLEEMANN,dez/20,33689.11,0.00,0.00,149482.01,183171.12,9315.23,36072.02,0.00,0.00,45387.25,137783.87
TRF2,EDUARDO AIDE BUENO DE CAMARGO,dez/20,32004.65,0.00,2349.32,12530.48,46884.45,5316.65,8474.22,0.00,5241.81,19032.68,27851.77
TRF2,EDUARDO ANDRE BRANDAO DE BRITO FERNANDES,dez/20,33689.11,0.00,1770.08,59527.02,94986.21,2697.17,18963.72,0.00,0.00,21660.89,73325.32
TRF2,EDUARDO FRANCISCO DE SOUZA,dez/20,32004.65,0.00,2489.70,4604.81,39099.16,713.10,8396.64,0.00,0.00,9109.74,29989.42
TRF2,EDUARDO NUNES MARQUES,dez/20,32004.65,0.00,910.08,6946.04,39860.77,713.10,8935.25,0.00,900.72,10549.07,29311.70
TRF2,EDUARDO OLIVEIRA HORTA MACIEL,dez/20,32004.65,0.00,910.08,11074.68,43989.41,713.10,9104.85,0.00,3786.01,13603.96,30385.45
TRF2,EDWARD CARLYLE SILVA,dez/20,33689.11,0.00,910.08,145336.41,179935.60,10081.63,33715.94,0.00,5812.65,49610.22,130325.38
TRF2,ELDER FERNANDES LUCIANO,dez/20,32004.65,0.00,2349.32,11512.78,45866.75,713.10,9724.75,0.00,4280.26,14718.11,31148.64
TRF2,ELMO GOMES DE SOUZA,dez/20,33689.11,0.00,910.08,0.00,34599.19,5498.01,5945.64,0.00,0.00,11443.65,23155.54
TRF2,ELO¡ ALVES FERREIRA,dez/20,33689.11,0.00,1340.08,12165.51,47194.70,5498.01,8372.21,0.00,6561.30,20431.52,26763.18
TRF2,ENARA DE OLIVEIRA OLIMPIO RAMOS PINTO,dez/20,33689.11,0.00,1969.54,70224.50,105883.15,8636.71,18780.75,0.00,6561.30,33978.76,71904.39
TRF2,ERICA FARIA AREAS BALLA,dez/20,33689.11,0.00,910.08,11416.86,46016.05,5498.01,8424.35,0.00,5812.65,19735.01,26281.04
TRF2,ERICO TEIXEIRA VINHOSA PINTO,dez/20,33689.11,0.00,910.08,0.00,34599.19,713.10,7554.17,0.00,0.00,8267.27,26331.92
TRF2,ERIK NAVARRO WOLKART,dez/20,33689.11,0.00,1125.08,12165.50,46979.69,713.10,9095.33,0.00,6561.29,16369.72,30609.97
TRF2,ERIKA SCHMITZ ASSUMPCAO RAMOS,dez/20,33689.11,0.00,0.00,57562.11,91251.22,7127.57,17222.35,0.00,0.00,24349.92,66901.30
TRF2,EUGENIO ROSA DE ARAUJO,dez/20,33689.11,0.00,910.08,12165.51,46764.70,5498.01,8424.35,0.00,6561.30,20483.66,26281.04
TRF2,FABIO CESAR DOS SANTOS OLIVEIRA,dez/20,33689.11,0.00,1844.70,10668.22,46202.03,5498.01,8424.35,0.00,5064.01,18986.37,27215.66
TRF2,FABIO DE SOUZA SILVA,dez/20,33689.11,0.00,1555.08,14117.57,49361.76,5583.40,7352.71,0.00,9163.51,22099.62,27262.14
TRF2,FABIO NOBRE BUENO BRANDAO,dez/20,33689.11,0.00,1555.08,12165.51,47409.70,5498.01,8372.21,0.00,6561.30,20431.52,26978.18
TRF2,FABIO TENENBLAT,dez/20,33689.11,7009.96,1340.08,12165.51,54204.66,5498.01,9175.23,0.00,6561.30,21234.54,32970.12
TRF2,FABIOLA UTZIG HASELOF,dez/20,33689.11,0.00,1770.08,12165.51,47624.70,5498.01,8577.42,0.00,5625.49,19700.92,27923.78
TRF2,FABRICIO ANTONIO SOARES,dez/20,33689.11,0.00,1770.08,7299.31,42758.50,5498.01,8320.07,0.00,1695.10,15513.18,27245.32
TRF2,FABRICIO FERNANDES DE CASTRO,dez/20,33689.11,0.00,910.08,10668.22,45267.41,5498.01,8424.35,0.00,5064.01,18986.37,26281.04
TRF2,FATIMA MARIA NOVELINO SEQUEIRA,dez/20,33689.11,0.00,0.00,210640.89,244330.00,10889.98,49425.31,0.00,0.00,60315.29,184014.71
TRF2,FERNANDA AKEMI MORIGAKI,dez/20,32004.65,0.00,910.08,11576.73,44491.46,5177.97,8512.36,0.00,4288.06,17978.39,26513.07
TRF2,FERNANDA DUARTE LOPES LUCAS DA SILVA,dez/20,33689.11,0.00,1552.77,194040.75,229282.63,10085.46,42503.34,0.00,6561.30,59150.10,170132.53
TRF2,FERNANDA RESENDE DJAHJAH DOMINICE,dez/20,32004.65,0.00,910.08,4978.50,37893.23,713.10,8499.40,11886.86,0.00,21099.36,16793.87
TRF2,FERNANDA RIBEIRO PINTO,dez/20,32004.65,0.00,2349.32,9726.34,44080.31,5257.98,9071.32,0.00,325.08,14654.38,29425.93
TRF2,FERNANDO CESAR BAPTISTA DE MATTOS,dez/20,33689.11,0.00,1340.08,12165.50,47194.69,5498.01,8372.21,0.00,6561.29,20431.51,26763.18
TRF2,FERNANDO HENRIQUE SILVA BRITO,dez/20,32004.65,0.00,910.08,8701.62,41616.35,5370.00,8459.55,0.00,1412.95,15242.50,26373.85
TRF2,FERNANDO JOSE MARQUES,dez/20,35462.22,0.00,0.00,299821.17,335283.39,9173.15,66537.27,0.00,0.00,75710.42,259572.97
TRF2,FIRLY NASCIMENTO FILHO,dez/20,33689.11,0.00,910.08,225771.47,260370.66,10252.55,30124.05,9990.90,4435.21,54802.71,205567.95
TRF2,FLAMES RAMATIS CESARIO,dez/20,32004.65,0.00,1340.08,5249.89,38594.62,713.10,8651.26,0.00,171.56,9535.92,29058.70
TRF2,FLAVIA HEINE PEIXOTO,dez/20,33689.11,0.00,910.08,10293.89,44893.08,5498.01,8372.21,0.00,4689.68,18559.90,26333.18
TRF2,FLAVIA ROCHA GARCIA,dez/20,32004.65,0.00,1629.70,12538.28,46172.63,713.10,9343.62,0.00,4352.79,14409.51,31763.12
TRF2,FLAVIO OLIVEIRA LUCAS,dez/20,33689.11,0.00,910.08,169159.29,203758.48,10170.37,24284.53,0.00,7504.49,41959.39,161799.09
TRF2,FLAVIO ROBERTO DE SOUZA,dez/20,35277.57,0.00,215.00,0.00,35492.57,5086.72,4410.33,0.00,0.00,9497.05,25995.52
TRF2,FRANA ELIZABETH MENDES,dez/20,33689.11,0.00,1125.08,159649.00,194463.19,9953.47,37372.75,0.00,5438.33,52764.55,141698.64
TRF2,FRANCISCO DE ASSIS BASILIO DE MORAES,dez/20,33689.11,7009.96,1340.08,12165.51,54204.66,5498.01,9884.16,0.00,6561.30,21943.47,32261.19
TRF2,FREDERICO JOSE LEITE GUEIROS,dez/20,35462.22,0.00,0.00,190280.75,225742.97,7894.46,47540.52,0.00,0.00,55434.98,170307.99
TRF2,FREDERICO MONTEDONIO REGO,dez/20,32004.65,0.00,1629.70,11565.03,45199.38,713.10,9688.06,0.00,4276.36,14677.52,30521.86
TRF2,FREDERICO ROMANIELLO TELES BAETA ZEBRAL,dez/20,32004.65,0.00,910.08,12459.51,45374.24,5305.99,8477.15,0.00,5170.84,18953.98,26420.26
TRF2,GABRIELA ROCHA DE LACERDA ABREU ARRUDA,dez/20,33689.11,0.00,910.08,12165.51,46764.70,5498.01,8320.07,0.00,6561.30,20379.38,26385.32
TRF2,GERALDINE PINTO VITAL DE CASTRO,dez/20,33689.11,0.00,910.08,152321.72,186920.91,9992.36,35333.84,0.00,6561.30,51887.50,135033.41
TRF2,GILSON DAVID CAMPOS,dez/20,33689.11,0.00,1844.70,7299.31,42833.12,5498.01,8424.35,0.00,1695.10,15617.46,27215.66
TRF2,GIOVANA TEIXEIRA BRANTES,dez/20,32004.65,0.00,910.08,6500.75,39415.48,713.10,8669.25,0.00,904.62,10286.97,29128.51
TRF2,GUILHERME ALVES DOS SANTOS,dez/20,32004.65,0.00,4143.94,8776.16,44924.75,713.10,9583.78,0.00,1487.49,11784.37,33140.38
TRF2,GUILHERME BOLLORINI PEREIRA,dez/20,33689.11,0.00,1340.08,12169.61,47198.80,5498.01,8424.35,0.00,6565.40,20487.76,26711.04
TRF2,GUILHERME CALMON NOGUEIRA DA GAMA,dez/20,35462.22,0.00,1340.08,247292.97,284095.27,10445.95,49521.12,0.00,8974.70,68941.77,215153.50
TRF2,GUILHERME CORREA DE ARAUJO,dez/20,32004.65,0.00,910.08,8904.23,41818.96,5380.66,8286.77,11886.86,2233.19,27787.48,14031.48
TRF2,GUILHERME COUTO DE CASTRO,dez/20,35462.22,0.00,910.08,273369.57,309741.87,10500.46,55918.88,0.00,8974.70,75394.04,234347.83
TRF2,GUSTAVO ARRUDA MACEDO,dez/20,33689.11,0.00,910.08,14767.72,49366.91,5641.91,7515.41,0.00,9163.51,22320.83,27046.08
TRF2,GUSTAVO MOULIN RIBEIRO,dez/20,33689.11,0.00,3209.32,12165.51,49063.94,713.10,9095.33,0.00,6561.30,16369.73,32694.21
TRF2,GUSTAVO PONTES MAZZOCCHI,dez/20,32004.65,0.00,910.08,0.00,32914.73,5177.97,6507.97,0.00,0.00,11685.94,21228.79
TRF2,HELENA ELIAS PINTO,dez/20,33689.11,0.00,1125.08,163394.21,198208.40,10086.95,37593.05,0.00,2069.42,49749.42,148458.98
TRF2,HUDSON TARGINO GURGEL,dez/20,33689.11,361.26,910.08,12165.51,47125.96,5566.65,8353.33,0.00,6922.56,20842.54,26283.42
TRF2,HUMBERTO DE VASCONCELOS SAMPAIO,dez/20,33689.11,0.00,1340.08,70747.95,105777.14,7475.23,19328.25,12529.08,5812.65,45145.21,60631.93
TRF2,IAN LEGAY VERMELHO,dez/20,32004.65,0.00,910.08,13380.50,46295.23,5380.66,8286.77,0.00,6709.46,20376.89,25918.34
TRF2,IORIO SIQUEIRA DALESSANDRI FORTI,dez/20,33689.11,0.00,1340.08,9919.56,44948.75,5498.01,8424.35,0.00,4315.35,18237.71,26711.04
TRF2,ISABEL MARIA DE FIGUEIREDO SOUTO,dez/20,33689.11,0.00,0.00,57562.11,91251.22,7127.57,0.00,0.00,0.00,7127.57,84123.65
TRF2,ISABELA ROSSI CORTES FERRARI,dez/20,32004.65,0.00,1125.08,12609.24,45738.97,713.10,9134.70,11886.86,5320.57,27055.23,18683.74
TRF2,ITALIA MARIA ZIMARDI AREAS POPPE BERTOZZI,dez/20,33689.11,0.00,910.08,10293.89,44893.08,5498.01,8424.35,0.00,4689.68,18612.04,26281.04
TRF2,JANAINA SIQUEIRA BARREIROS LEAL,dez/20,32004.65,0.00,910.08,12977.65,45892.38,713.10,9311.81,0.00,4959.04,14983.95,30908.43
TRF2,JANE REIS GONCALVES PEREIRA,dez/20,33689.11,0.00,910.08,11416.86,46016.05,5498.01,8372.21,0.00,5812.65,19682.87,26333.18
TRF2,JOAO MARCELO OLIVEIRA ROCHA,dez/20,33689.11,0.00,910.08,12165.51,46764.70,5498.01,8320.07,0.00,6561.30,20379.38,26385.32
TRF2,JOAO PAULO DE MELLO CASTELO BRANCO,dez/20,32004.65,0.00,1629.70,11565.04,45199.39,5177.97,8713.17,0.00,3546.15,17437.29,27762.10
TRF2,JOAQUIM ANTONIO CASTRO AGUIAR,dez/20,35462.22,0.00,0.00,200706.28,236168.50,7826.93,51102.44,0.00,0.00,58929.37,177239.13
TRF2,JOSE ANTONIO LISBOA NEIVA,dez/20,35462.22,0.00,1555.08,217184.53,254201.83,10445.96,49097.24,0.00,8974.71,68517.91,185683.92
TRF2,JOSE ARTHUR DINIZ BORGES,dez/20,33689.11,7153.86,910.08,11980.81,53733.86,5641.91,9670.84,0.00,5340.61,20653.36,33080.50
TRF2,JOSE CARLOS DA FROTA MATOS,dez/20,33689.11,7009.96,910.08,3743.23,45352.38,5498.01,9424.53,12529.08,0.00,27451.62,17900.76
TRF2,JOSE CARLOS DA SILVA GARCIA,dez/20,33689.11,0.00,910.08,201407.50,236006.69,10028.34,42136.53,0.00,6561.30,58726.17,177280.52
TRF2,JOSE CARLOS ZEBULUM,dez/20,33689.11,5498.01,1340.08,11791.19,52318.39,5498.01,9936.30,0.00,6186.98,21621.29,30697.10
