data,temp_media,temp_min,temp_max,chuva,fds,consumo
4/23/2015,21.2,18.6,24.9,14.6,0,23198
4/24/2015,22.52,19.3,28.1,0,0,24388
4/25/2015,19.18,17.4,23.3,0,1,27420
4/26/2015,19.04,16.1,23.7,0.8,1,30479
4/27/2015,19.82,17.5,24.9,0,0,21838
4/28/2015,20.26,17.2,26.9,0,0,20812
4/29/2015,18.66,16.8,22.7,0,0,19761
4/30/2015,16.22,14.7,18.7,0,0,20452
5/1/2015,17.34,13.4,22,0,0,17939
5/2/2015,19.26,14.7,26.4,0,1,25272
5/3/2015,21.04,15.8,26.3,0,1,28049
5/4/2015,19.96,17.9,22.3,1,0,25317
5/5/2015,18.14,16.6,20.8,9.9,0,21826
5/6/2015,17.76,15.9,20.4,0,0,20680
5/7/2015,17.8,15.8,21.7,0,0,19143
5/8/2015,16.14,13.9,19.2,0,0,18146
5/9/2015,18.04,13.7,26.1,0,1,25489
5/10/2015,16.94,13.7,21,0,1,23537
5/11/2015,17.86,15.7,20.6,22.2,0,16956
5/12/2015,17.12,14.2,21.7,0,0,19052
5/13/2015,16.34,14.7,18.9,2.8,0,17287
5/14/2015,16.72,14.2,21,0,0,20300
5/15/2015,16.84,13.6,21.5,0,0,20538
5/16/2015,17.18,13.2,22.3,0,1,23702
5/17/2015,18.26,15.4,22.4,0,1,28411
5/18/2015,18.6,16.6,21.3,0,0,21073
5/19/2015,18.64,17,22.9,0,0,24215
5/20/2015,18.74,15.9,23.3,0.2,0,19525
5/21/2015,19.46,16.3,25,0,0,20786
5/22/2015,20.26,16.3,25.4,0,0,20429
5/23/2015,19.94,15.9,24.4,0,1,27250
5/24/2015,21.8,17.9,26.3,0,1,31387
5/25/2015,22.06,17.5,27.4,0,0,26075
5/26/2015,21.28,19.7,24.8,0,0,22162
5/27/2015,22.94,19.7,27.1,0,0,24258
5/28/2015,18.56,16.8,23.2,1.8,0,24683
5/29/2015,17.68,15.3,21.9,7.2,0,21245
5/30/2015,17.52,13.1,22.9,0,1,25937
5/31/2015,16.28,13.6,18.4,5.6,1,26081
6/1/2015,16.28,15.2,18,2.2,0,16228
6/2/2015,16.04,15,17.5,0.5,0,20106
6/3/2015,17.94,15,21.7,0,0,21055
6/4/2015,18.36,14.6,24.1,0,0,22772
6/5/2015,18.32,14.1,25.3,0,0,25142
6/6/2015,19.66,13.8,26.1,0,1,31129
6/7/2015,20.62,15.9,26.2,0,1,30498
6/8/2015,20.86,15.2,26.4,0,0,26150
6/9/2015,20.32,15.2,26,0,0,21327
6/10/2015,20.54,15.5,26.2,0,0,22008
6/11/2015,22.72,17.5,26.9,0,0,24615
6/12/2015,18.8,16.9,23.5,0,0,22375
6/13/2015,21.1,15.5,27.4,0,1,29607
6/14/2015,22.76,18.1,27.3,0,1,32983
6/15/2015,16.02,13.1,23.4,0,0,19119
6/16/2015,14.82,12.1,18.1,9,0,21029
6/17/2015,19.8,13.9,25.1,0,0,23898
6/18/2015,19.88,15.8,26.2,0,0,24534
6/19/2015,14.66,13.2,17.7,3.8,0,16748
6/20/2015,15.82,12.5,20.4,0,1,23055
6/21/2015,17.32,12.6,24.6,0,1,28857
6/22/2015,18.54,13.1,24.6,0,0,23022
6/23/2015,19.02,14.4,25.5,0,0,27146
6/24/2015,14.54,13.9,18,3.8,0,17241
6/25/2015,14.72,12.1,17.4,1,0,19463
6/26/2015,15.26,12,20.9,0,0,21860
6/27/2015,15.34,10.6,20.8,0,1,24227
6/28/2015,15.48,11.2,21.8,0,1,27594
6/29/2015,17.2,11,24.4,0,0,24863
6/30/2015,19.36,13.2,25.1,0,0,20161
7/1/2015,17.78,16.2,20.5,0,0,20824
7/2/2015,17.2,15.1,19.9,1.6,0,19727
7/3/2015,17.52,15.6,18.4,17.8,0,14940
7/4/2015,14.94,10.9,21,15.2,1,24632
7/5/2015,12.9,11,14.5,4.4,1,21294
7/6/2015,15.78,11.3,20.6,0,0,18448
7/7/2015,16.8,13.3,20.2,0,0,21237
7/8/2015,17.02,14.9,18.7,4.5,0,19849
7/9/2015,17.54,15.3,20.4,0,0,20740
7/10/2015,19.24,14,25.4,0,0,25698
7/11/2015,17.46,16,19.8,0,1,26691
7/12/2015,20.32,14,27.4,3,1,33298
7/13/2015,22.06,16.7,28.7,0,0,25640
7/14/2015,23.3,18.4,29.3,0,0,23937
7/15/2015,20.18,17.2,27.6,0,0,28742
7/16/2015,19.88,16.2,25.8,0,0,21748
7/17/2015,19.14,15.8,24.3,0,0,22032
7/18/2015,20.2,18.2,23.8,0,1,24827
7/19/2015,19.98,14.6,25.9,0,1,32473
7/20/2015,20.56,14.9,25.1,0,0,20620
7/21/2015,16.72,14,21.4,0,0,21825
7/22/2015,14.52,12.8,16.1,0,0,14343
7/23/2015,17.02,13.6,20.6,0,0,19029
7/24/2015,18.46,14.3,25.8,0,0,21104
7/25/2015,15.9,14.9,17.9,16.6,1,20738
7/26/2015,16.82,13.6,22.9,2,1,25233
7/27/2015,16.6,11,24.2,0,0,18975
7/28/2015,16.46,11.6,24.5,0,0,19640
7/29/2015,16.2,11,23.8,0,0,22522
7/30/2015,16.76,11.3,26.7,0,0,24227
7/31/2015,19.24,12.8,26.6,0,0,24726
8/1/2015,19.78,14.3,26.4,0,1,32467
8/2/2015,20.1,13.8,26.3,0,1,31663
8/3/2015,21.16,14.9,26.9,0,0,25867
8/4/2015,21.04,15.2,27.4,0,0,27724
8/5/2015,20.96,15,27.2,0,0,22039
8/6/2015,21.06,16.3,27.7,0,0,26127
8/7/2015,22.08,15.5,28.9,0,0,26580
8/8/2015,21.16,16,27.8,0,1,31310
8/9/2015,19.62,15.6,26.2,0,1,33517
8/10/2015,21.2,15.6,28,0,0,23181
8/11/2015,19.6,15.2,27.2,0,0,24183
8/12/2015,20.12,14.1,26.6,0,0,24594
8/13/2015,20.42,14.1,28.1,0,0,22610
8/14/2015,20.86,15.3,27.6,0,0,25479
8/15/2015,21.44,15.6,27.8,0,1,29621
8/16/2015,20.56,16.2,27.2,0,1,26272
8/17/2015,21.58,15.3,28,0,0,22541
8/18/2015,21.3,16.7,26.5,0,0,23070
8/19/2015,20.74,17.3,28.3,0,0,26021
8/20/2015,16.2,14.8,19.6,0,0,17655
8/21/2015,16.84,13.2,22.1,1,0,23243
8/22/2015,18.08,14.1,26.2,0,1,30177
8/23/2015,20.22,13.5,30,0,1,27518
8/24/2015,16.98,15.1,20.5,0,0,23210
8/25/2015,16.98,14.3,20.5,2.4,0,21092
8/26/2015,18.92,14.8,24,0.6,0,23357
8/27/2015,16.1,13.8,19.8,2.6,0,17888
8/28/2015,16.28,12.8,22.1,25,0,22217
8/29/2015,18.46,12.2,26.7,0,1,31681
8/30/2015,22.52,14.3,32,0,1,31833
8/31/2015,24.54,16.6,32.2,0,0,28441
9/1/2015,21.44,17.2,30.7,0,0,22389
9/2/2015,16.1,14.1,20.2,0.4,0,20681
9/3/2015,19.3,14.8,25,0,0,24222
9/4/2015,16.66,15.2,19.3,0,0,19345
9/5/2015,16.12,14.4,18.5,2.4,1,21827
9/6/2015,16.48,13.3,19.9,0,1,23566
9/7/2015,18.72,13.8,24.4,0.1,0,20227
9/8/2015,17.08,15.8,19.2,23.6,0,17075
9/9/2015,18.82,15.8,22.9,58,0,16977
9/10/2015,18.92,13.9,25.6,0,0,21525
9/11/2015,16.88,14.1,21.8,31.8,0,21454
9/12/2015,14,12.8,15.6,27.6,1,21814
9/13/2015,14.18,12.5,16.1,0,1,21252
9/14/2015,16.46,13,22.5,0.2,0,20464
9/15/2015,21.18,14.4,30.1,0,0,30775
9/16/2015,25.24,17.2,32.6,0,0,25343
9/17/2015,27.26,20.4,33,0,0,33930
9/18/2015,28.06,21.3,34.5,0,0,26311
9/19/2015,28,21.1,35.5,0,1,31836
9/20/2015,23.6,19.2,33.3,0,1,34695
9/21/2015,24.72,17.4,32.8,0,0,29829
9/22/2015,25.7,18.9,33.3,0,0,26362
9/23/2015,26.14,18.3,34,0,0,32589
9/24/2015,28.3,20.5,35.3,0,0,30345
9/25/2015,23.24,19.2,30.3,0,0,29411
9/26/2015,20.58,18.2,24.9,28.6,1,29637
9/27/2015,22.3,18.2,30.6,1.8,1,32184
9/28/2015,21.22,17.5,23.6,27.2,0,17731
9/29/2015,21.8,17.5,27.1,0,0,24114
9/30/2015,21.52,18.6,27.6,0,0,28034
10/1/2015,20.96,17.6,26.4,7.6,0,22664
10/2/2015,24.74,19.3,32.7,0,0,27488
10/3/2015,20.28,16.1,25,25,1,24876
10/4/2015,18.6,17.1,21.3,0.2,1,24862
10/5/2015,17.36,14.8,22.4,0,0,24679
10/6/2015,18.26,14.6,24.7,0,0,22304
10/7/2015,24.5,15.9,32.6,0,0,30329
10/8/2015,26.56,19.3,34,0,0,33182
10/9/2015,24.52,19.8,29,0,0,23849
10/10/2015,23.06,19.6,28,0.3,1,33330
10/11/2015,22.48,19.6,30,0,1,34496
10/12/2015,22.76,19,29.6,0,0,26249
10/13/2015,21.4,18.1,27.6,2.4,0,26523
10/14/2015,23.62,18.2,28.5,0,0,26793
10/15/2015,28.12,18.9,35.8,0,0,35861
10/16/2015,26.24,21.3,35.7,0,0,27387
10/17/2015,21.22,17.3,29.2,0,1,32666
10/18/2015,16.76,15.5,19.2,0.1,1,22199
10/19/2015,19.86,15.5,27.2,0,0,24000
10/20/2015,26.3,17.2,35.3,0,0,27871
10/21/2015,24.62,21.3,32,0,0,31139
10/22/2015,19.9,17.7,22.8,14.6,0,23065
10/23/2015,20.5,17.6,27.3,13.4,0,26594
10/24/2015,17.94,16.2,21.2,0,1,27657
10/25/2015,17.64,15.7,19.2,0,1,26594
10/26/2015,20.86,16,28.5,28.4,0,28084
10/27/2015,22,19.1,28.4,0.1,0,27582
10/28/2015,20.42,18.6,23.9,0,0,24862
10/29/2015,20.56,18.2,24.8,0,0,22634
10/30/2015,23.86,19.1,31.2,0,0,31649
10/31/2015,23.18,18.2,29.3,0,1,35781
11/1/2015,20.22,18.7,22.4,27.2,1,24429
11/2/2015,21.82,18.3,27.2,39.6,0,20648
11/3/2015,21.86,19.5,25.6,3.4,0,22741
11/4/2015,21.52,18.6,27.4,6.8,0,21479
11/5/2015,21.8,18.2,24.8,39.3,0,23134
11/6/2015,19.76,18,22.8,0,0,20575
11/7/2015,18.3,16.8,20,1.2,1,24330
11/8/2015,20.24,17.4,23.9,0.6,1,28610
11/9/2015,22.98,18.7,29.5,4.4,0,28456
11/10/2015,23.72,19.4,31.8,10.4,0,27964
11/11/2015,26.2,19.8,32.7,0,0,29569
11/12/2015,23.78,20.8,31.8,0,0,29267
11/13/2015,22.78,19.4,29.6,0,0,28647
11/14/2015,25.06,19.5,30.4,16.4,1,26836
11/15/2015,23.06,19.8,29.7,8,1,29386
11/16/2015,21.16,19.4,24.9,0,0,24609
11/17/2015,21.76,17.7,29.7,0,0,26964
11/18/2015,25.5,17.6,30.5,14.1,0,23614
11/19/2015,26.16,23.3,30.4,0,0,22960
11/20/2015,23.28,19.6,27,6.8,0,20332
11/21/2015,19.44,17.2,24.4,7.2,1,30392
11/22/2015,22.26,17.1,28.8,0,1,31933
11/23/2015,20.8,19.6,23.6,13.6,0,21662
11/24/2015,21.36,19.3,22.6,7,0,21689
11/25/2015,21.26,19.3,24.8,0.4,0,25119
11/26/2015,22.28,19,27.4,0,0,25285
11/27/2015,22.28,17.6,28.4,0,0,28979
11/28/2015,23.7,18.7,29.8,0,1,34382
11/29/2015,22.38,20.5,26,17.4,1,30617
11/30/2015,19.1,16.7,23.3,23.4,0,20238
12/1/2015,20.1,16.4,25.8,0,0,24529
12/2/2015,22.1,18.2,29.4,0,0,30471
12/3/2015,22.44,20.2,26.1,0,0,28405
12/4/2015,22.76,19,29.1,0,0,29513
12/5/2015,24.8,19.5,30.6,0.1,1,32451
12/6/2015,23.12,20.6,28,0.1,1,32780
12/7/2015,20.04,18,23.9,47.8,0,23375
12/8/2015,21.7,18,28,0,0,27713
12/9/2015,23.96,19.6,27.9,0,0,27137
12/10/2015,24,22.2,27.7,0,0,22933
12/11/2015,24.04,20.7,30.3,0,0,30740
12/12/2015,23.92,20.6,30.8,0,1,29579
12/13/2015,24.54,19.3,31,12.2,1,29188
12/14/2015,26.28,21.1,32.5,2,0,28131
12/15/2015,25.66,20.6,32.8,4,0,28617
12/16/2015,22.04,20.7,24.8,1.5,0,21062
12/17/2015,23.32,18.9,28.7,0,0,24337
12/18/2015,26.42,19.6,33.5,0.1,0,27042
12/19/2015,23.74,19.8,31.3,1.3,1,32536
12/20/2015,22.84,19.6,29,8.4,1,30127
12/21/2015,23.12,19.6,29.1,27.2,0,24834
12/22/2015,24.6,19.6,32.4,43,0,26828
12/23/2015,27.46,22.1,32.4,3,0,26468
12/24/2015,24.72,20.5,31.5,3.4,0,31572
12/25/2015,23.58,17.8,31,39,0,26308
12/26/2015,23.34,17.8,29.8,94.8,1,21955
12/27/2015,24,21.1,28.2,13.6,1,32307
12/28/2015,22.64,21.1,26.7,0,0,26095
12/29/2015,21.68,20.3,24.1,10.3,0,22309
12/30/2015,21.38,19.3,22.4,6.3,0,20467
12/31/2015,24.76,20.2,29,0,0,22446
