REGI√O,ESTADO,DESTINAT¡RIO,ORIGEM,FORNECEDOR,MEDICAMENTO,APRESENTA«√O,QUANTIDADE,PEDIDO SISMAT,STATUS,DATA DE ENTREGA
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,1440,320413,Entrega realizada ,6/29/2020
NORTE,AMAZONAS,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,160,320408,Entrega realizada ,6/29/2020
NORTE,PAR¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,2010,320417,Entrega realizada ,6/29/2020
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,2050,320420,Entrega realizada ,6/29/2020
NORDESTE,PERNAMBUCO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,1590,320419,Entrega realizada ,6/29/2020
SUDESTE,S√O PAULO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 3 mL,38970,320424,Entrega realizada ,6/29/2020
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 3 mL,23100,320423,Entrega realizada ,6/29/2020
NORDESTE,PERNAMBUCO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 3 mL,30680,320419,Entrega realizada ,6/29/2020
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 3 mL,7250,320421,Entrega realizada ,6/30/2020
SUDESTE,S√O PAULO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML",AMPOLA 5 mL,50000,320538,Entrega realizada,6/30/2020
NORDESTE,BAHIA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 10 mL,13600,320528,Entrega realizada,6/30/2020
NORDESTE,CEAR¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 10 mL,43475,320529,Entrega realizada,7/1/2020
NORDESTE,MARANH√O,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 10 mL,5200,320530,Entrega realizada,7/1/2020
NORDESTE,PARAÕBA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 10 mL,350,320533,Entrega realizada,7/1/2020
NORDESTE,PERNAMBUCO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 10 mL,2075,320534,Entrega realizada,7/1/2020
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 10 mL,675,320535,Entrega realizada,7/1/2020
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 10 mL,10725,320536,Entrega realizada,7/1/2020
NORTE,TOCANTINS,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 10 mL,2175,320539,Entrega realizada,7/2/2020
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 10 mL,46725,320532,Entrega realizada,7/3/2020
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",AMPOLA 10 mL,5040,320531,Entrega realizada,7/1/2020
NORTE,AMAP¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",AMPOLA 10 mL,11980,320527,Entrega realizada,7/1/2020
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",AMPOLA 10 mL,22980,320532,Entrega realizada,7/3/2020
NORDESTE,PARAÕBA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",AMPOLA 20 mL,9240,320533,Entrega realizada,7/1/2020
NORDESTE,SERGIPE,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",AMPOLA 20 mL,8970,320537,Entrega realizada,7/1/2020
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",AMPOLA 20 mL,10960,320531,Entrega realizada,7/1/2020
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",AMPOLA 20 mL,10670,320535,Entrega realizada,7/1/2020
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",AMPOLA 20 mL,160,320532,Entrega realizada,7/3/2020
SUDESTE,S√O PAULO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML ",AMPOLA 5 mL,18625,320841,Entrega realizada ,7/2/2020
SUDESTE,S√O PAULO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 10 mL,114200,320841,Entrega realizada ,7/3/2020
SUDESTE,S√O PAULO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 2 mL,89250,320841,Entrega realizada ,7/3/2020
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 2 mL,3500,320844,Entrega realizada ,7/3/2020
NORDESTE,PARAÕBA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 2 mL,3750,320843,Entrega realizada,7/3/2020
SUDESTE,S√O PAULO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 5 mL,8340,320841,Entrega realizada ,7/3/2020
NORDESTE,CEAR¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML ",AMPOLA 5 mL,1900,320832,Entrega realizada ,7/3/2020
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML ",AMPOLA 5 mL,2650,320838,Entrega realizada,7/3/2020
SUDESTE,S√O PAULO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 10 mL,6200,320841,Entrega realizada ,7/3/2020
SUDESTE,ESPÕRITO SANTO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 10 mL,125,320833,Entrega realizada,7/4/2020
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML ",AMPOLA 5 mL,1175,320840,Entrega realizada,7/5/2020
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 5 mL,1880,320840,Entrega realizada,7/5/2020
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 10 mL,125,320840,Entrega realizada,7/5/2020
NORDESTE,BAHIA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 10 mL,60800,320831,Entrega realizada,7/6/2020
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML ",AMPOLA 5 mL,2600,320834,Entrega realizada,7/6/2020
NORTE,AMAZONAS,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML ",AMPOLA 5 mL,750,320828,Entrega realizada,7/6/2020
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 10 mL,200,320834,Entrega realizada,7/6/2020
NORDESTE,BAHIA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 10 mL,825,320831,Entrega realizada,7/6/2020
NORDESTE,PERNAMBUCO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML ",AMPOLA 2 mL,3500,320837,Entrega realizada,7/7/2020
NORDESTE,MARANH√O,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML ",AMPOLA 5 mL,425,320835,Entrega realizada,7/7/2020
NORDESTE,PERNAMBUCO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML ",AMPOLA 5 mL,2000,320837,Entrega realizada,7/7/2020
NORDESTE,MARANH√O,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 10 mL,125,320835,Entrega realizada,7/7/2020
NORDESTE,PERNAMBUCO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 5 mL,8430,320837,Entrega realizada,7/7/2020
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML ",AMPOLA 5 mL,17150,320836,Entrega realizada,7/8/2020
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 10 mL,2400,320836,Entrega realizada,7/8/2020
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 5 mL,6350,320836,Entrega realizada,7/8/2020
NORTE,AMAP¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML ",AMPOLA 5 mL,1975,320830,Entrega realizada,7/13/2020
NORTE,ROND‘NIA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML ",AMPOLA 5 mL,750,320839,Entrega realizada,7/22/2020
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA,EUROFARMA LABORATORIOS,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,540,320881,Entrega realizada,7/6/2020
NORTE,PAR¡,SES,REQUISI«√O ADMINISTRATIVA,EUROFARMA LABORATORIOS,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,760,320883,Entrega realizada,7/6/2020
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA,EUROFARMA LABORATORIOS,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,810,320884,Entrega realizada,7/6/2020
NORDESTE,PERNAMBUCO,SES,REQUISI«√O ADMINISTRATIVA,EUROFARMA LABORATORIOS,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,1120,320885,Entrega realizada,7/6/2020
SUDESTE,S√O PAULO,SES,REQUISI«√O ADMINISTRATIVA,EUROFARMA LABORATORIOS,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,1945,320880,Entrega realizada,7/7/2020
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA,EUROFARMA LABORATORIOS,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,3645,320882,Entrega realizada,7/8/2020
CENTRO-OESTE,MATO GROSSO DO SUL,SES,REQUISI«√O ADMINISTRATIVA,FRESENIUS KABI,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",AMPOLA 20 mL,1455,320992,Entrega realizada,7/9/2020
NORDESTE,SERGIPE,SES,REQUISI«√O ADMINISTRATIVA,FRESENIUS KABI,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",AMPOLA 20 mL,1045,320999,Entrega realizada,7/9/2020
NORDESTE,ALAGOAS,SES,REQUISI«√O ADMINISTRATIVA,FRESENIUS KABI,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",AMPOLA 20 mL,12190,320997,Entrega realizada,7/10/2020
NORTE,AMAP¡,SES,REQUISI«√O ADMINISTRATIVA,FRESENIUS KABI,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",AMPOLA 20 mL,4920,320993,Entrega realizada,7/10/2020
NORDESTE,PARAÕBA,SES,REQUISI«√O ADMINISTRATIVA,FRESENIUS KABI,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",AMPOLA 20 mL,4230,320996,Entrega realizada,7/10/2020
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA,FRESENIUS KABI,"PROPOFOL 10 MG/ML, EMULS√O INJET¡VEL",AMPOLA 20 mL,6160,320994,Entrega realizada,7/10/2020
NORTE,AMAP¡,SES,REQUISI«√O ADMINISTRATIVA,FRESENIUS KABI,"PANCUR‘NIO, BROMETO, 2 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 2 mL,3550,321211,Entrega realizada,7/10/2020
NORDESTE,MARANH√O,SES,REQUISI«√O ADMINISTRATIVA,FRESENIUS KABI,"PANCUR‘NIO, BROMETO, 2 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 2 mL,2050,321213,Entrega realizada,7/10/2020
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA,FRESENIUS KABI,"PANCUR‘NIO, BROMETO, 2 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 2 mL,4250,321214,Entrega realizada,7/10/2020
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA,FRESENIUS KABI,"PANCUR‘NIO, BROMETO, 2 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 2 mL,150,321212,Entrega realizada,7/11/2020
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,836,321617,Entrega realizada,7/14/2020
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,258,321618,Entrega realizada,7/14/2020
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,1497,321625,Entrega realizada,7/15/2020
NORDESTE,PARAÕBA,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,2341,321626,Entrega realizada,7/15/2020
NORDESTE,PERNAMBUCO,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,2694,321629,Entrega realizada,7/15/2020
NORDESTE,ALAGOAS,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,2134,321630,Entrega realizada,7/15/2020
NORDESTE,BAHIA,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,2075,321631,Entrega realizada,7/15/2020
NORTE,ROND‘NIA,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,523,321619,Entrega realizada,7/16/2020
NORTE,RORAIMA,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,150,321621,Entrega realizada,7/16/2020
NORTE,PAR¡,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,871,321622,Entrega realizada,7/16/2020
NORDESTE,MARANH√O,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,1781,321623,Entrega realizada,7/16/2020
NORDESTE,PIAUÕ,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,12351,321624,Entrega realizada,7/16/2020
SUDESTE,RIO DE JANEIRO,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,599,321615,Entrega realizada,7/17/2020
NORTE,AMAP¡,SES,REQUISI«√O ADMINISTRATIVA, BLAU FARMAC UTICA S/A,"SUXAMET‘NIO, CLORETO 100 MG P” LIOF. INJET¡VEL",FRASCO,1890,321620,Entrega realizada,7/21/2020
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM 5 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 3 mL,5080,322226,Entrega realizada,7/20/2020
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLU«√O INJET¡VEL",AMPOLA 5 mL,1270,322226,Entrega realizada,7/20/2020
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"CISATRAC⁄RIO, BESILATO 2 MG/ML ",AMPOLA 10 mL,1075,322226,Entrega realizada,7/20/2020
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"ROCUR‘NIO, BROMETO 10 MG/ML",AMPOLA 5 mL,6750,322226,Entrega realizada,7/20/2020
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML",AMPOLA 2 mL,11650,322226,Entrega realizada,7/20/2020
CENTRO-OESTE,GOI¡S,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"FENTANILA, CITRATO 0,05 MG/ML",AMPOLA 5 mL,5820,322226,Entrega realizada,7/20/2020
