nome_carro,marca,modelo,idade_carro,km_percorrido,tipo_vendedor,tipo_combustivel,tipo_transmissao,quilometragem,motor,potencia,assentos,preco_venda,ipva,familia
Maruti Swift Dzire,Maruti,Swift Dzire,5,47000,distribuidor,Diesel,Manual,26.59,1248,74.0,5,545000,21800.0,media
Honda City,Honda,City,8,70000,particular,Petrol,Manual,16.8,1497,116.3,5,545000,21800.0,media
Renault KWID,Renault,KWID,5,25000,particular,Petrol,Manual,25.17,799,53.3,5,240000,9600.0,media
Maruti Vitara,Maruti,Vitara,3,26000,distribuidor,Diesel,Manual,24.3,1248,88.5,5,725000,29000.0,media
Ford Aspire,Ford,Aspire,4,30000,particular,Petrol,Manual,18.16,1196,86.8,5,480000,19200.0,media
Hyundai i20,Hyundai,i20,8,15000,particular,Petrol,Manual,18.5,1197,82.9,5,375000,15000.0,media
Maruti Swift,Maruti,Swift,10,160000,particular,Diesel,Manual,17.8,1248,75.0,5,225000,9000.0,media
Hyundai i20,Hyundai,i20,5,22000,distribuidor,Petrol,Manual,18.5,1197,82.9,5,550000,22000.0,media
Mahindra Scorpio,Mahindra,Scorpio,5,44000,distribuidor,Diesel,Manual,15.4,2179,120.0,7,1050000,42000.0,grande
Volkswagen Polo,Volkswagen,Polo,5,78000,distribuidor,Petrol,Manual,18.78,1198,74.0,5,450000,18000.0,media
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,74352,distribuidor,Petrol,Automatic,11.74,1796,186.0,5,775000,31000.0,media
Maruti Wagon R,Maruti,Wagon R,7,37000,particular,Petrol,Manual,20.51,998,67.04,5,350000,14000.0,media
Honda City,Honda,City,7,69000,distribuidor,Diesel,Manual,25.1,1498,98.6,5,550000,22000.0,media
Kia Seltos,Kia,Seltos,2,12120,particular,Petrol,Manual,16.8,1497,113.4,5,1080000,43200.0,media
Maruti Baleno,Maruti,Baleno,5,52000,distribuidor,Petrol,Manual,21.01,1197,81.8,5,575000,23000.0,media
Toyota Innova,Toyota,Innova,5,120000,particular,Diesel,Manual,12.99,2494,100.6,8,950000,38000.0,grande
Maruti Alto,Maruti,Alto,8,55000,particular,Petrol,Manual,22.74,796,47.3,5,230000,9200.0,media
Hyundai i20,Hyundai,i20,10,160000,particular,Diesel,Manual,21.9,1396,90.0,5,270000,10800.0,media
Chevrolet Beat,Chevrolet,Beat,9,42000,distribuidor,Diesel,Manual,25.44,936,56.3,5,165000,6600.0,media
Ford Figo,Ford,Figo,10,40000,particular,Petrol,Manual,15.6,1196,70.0,5,130000,5200.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,9,46000,distribuidor,Petrol,Manual,19.1,1197,85.8,5,370000,14800.0,media
Maruti Baleno,Maruti,Baleno,4,25000,distribuidor,Petrol,Manual,21.4,1197,83.1,5,570000,22800.0,media
Toyota Etios,Toyota,Etios,6,240000,particular,Diesel,Manual,23.59,1364,67.05,5,390000,15600.0,media
Volkswagen Polo,Volkswagen,Polo,8,90000,distribuidor,Diesel,Manual,22.07,1199,73.9,5,365000,14600.0,media
Hyundai i20,Hyundai,i20,9,49566,distribuidor,Petrol,Manual,18.5,1197,82.85,5,280000,11200.0,media
Hyundai Verna,Hyundai,Verna,3,14000,distribuidor,Diesel,Automatic,22.0,1582,126.2,5,1250000,50000.0,media
Hyundai i20,Hyundai,i20,5,11000,distribuidor,Petrol,Manual,18.6,1197,81.83,5,590000,23600.0,media
Maruti Celerio,Maruti,Celerio,3,5000,particular,Petrol,Automatic,23.1,998,67.04,5,475000,19000.0,media
Ford Ecosport,Ford,Ecosport,4,55000,distribuidor,Diesel,Manual,23.0,1498,98.96,5,685000,27400.0,media
Hyundai Verna,Hyundai,Verna,9,65000,distribuidor,Diesel,Automatic,19.08,1582,126.32,5,380000,15200.0,media
Renault KWID,Renault,KWID,3,22000,particular,Petrol,Manual,23.01,999,67.0,5,330000,13200.0,media
Maruti Baleno,Maruti,Baleno,3,7671,distribuidor confiável,Petrol,Manual,21.01,1197,81.8,5,650000,26000.0,media
Maruti Wagon R,Maruti,Wagon R,5,66000,particular,Petrol,Manual,20.51,998,67.04,5,325000,13000.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,3,45156,distribuidor,Petrol,Automatic,21.21,1197,81.8,5,640000,25600.0,media
Hyundai Venue,Hyundai,Venue,2,25000,particular,Petrol,Manual,18.27,998,118.35,5,949000,37960.0,media
Nissan Terrano,Nissan,Terrano,6,70000,particular,Diesel,Manual,20.45,1461,83.8,5,750000,30000.0,media
Hyundai Verna,Hyundai,Verna,6,120000,particular,Diesel,Manual,23.9,1582,126.2,5,660000,26400.0,media
Maruti Swift,Maruti,Swift,7,28000,distribuidor,Petrol,Manual,16.1,1197,85.0,5,435000,17400.0,media
Hyundai i20,Hyundai,i20,8,55000,distribuidor,Diesel,Manual,21.9,1396,88.76,5,385000,15400.0,media
Hyundai Santa,Hyundai,Santa,10,104000,particular,Diesel,Manual,14.66,2199,194.3,7,1000000,40000.0,grande
Hyundai Verna,Hyundai,Verna,2,14000,distribuidor,Diesel,Automatic,22.0,1582,126.2,5,1250000,50000.0,media
Hyundai Xcent,Hyundai,Xcent,4,18000,particular,Petrol,Manual,20.14,1197,81.86,5,550000,22000.0,media
Maruti Wagon R,Maruti,Wagon R,12,98780,distribuidor,Petrol,Manual,18.9,998,67.1,5,155000,6200.0,media
Maruti Swift,Maruti,Swift,6,58000,distribuidor,Diesel,Manual,25.2,1248,74.0,5,415000,16600.0,media
Maruti Alto,Maruti,Alto,10,30000,particular,Petrol,Manual,20.92,998,67.1,5,251000,10040.0,media
Mahindra Scorpio,Mahindra,Scorpio,5,46400,distribuidor,Diesel,Manual,15.4,2179,120.0,7,1150000,46000.0,grande
Hyundai i10,Hyundai,i10,7,32111,distribuidor confiável,Petrol,Manual,19.81,1086,68.05,5,310000,12400.0,media
Datsun GO,Datsun,GO,6,35000,particular,Petrol,Manual,19.44,1198,67.0,7,350000,14000.0,grande
Mahindra Scorpio,Mahindra,Scorpio,4,30000,distribuidor,Diesel,Manual,15.4,1997,120.0,7,1125000,45000.0,grande
BMW 5,BMW,5,5,63000,distribuidor,Diesel,Automatic,18.59,2993,261.49,5,2600000,104000.0,media
Chevrolet Beat,Chevrolet,Beat,4,43890,particular,Petrol,Manual,17.8,1199,76.8,5,200000,8000.0,media
Datsun GO,Datsun,GO,3,10000,particular,Petrol,Manual,20.62,1198,67.0,7,480000,19200.0,grande
Maruti Swift Dzire,Maruti,Swift Dzire,4,25000,particular,Diesel,Automatic,28.4,1248,74.02,5,850000,34000.0,media
Hyundai Creta,Hyundai,Creta,4,102000,distribuidor,Diesel,Automatic,17.01,1582,126.2,5,1100000,44000.0,media
Maruti Swift,Maruti,Swift,3,35000,distribuidor,Petrol,Manual,22.0,1197,81.8,5,575000,23000.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,9,49948,distribuidor,Petrol,Manual,17.5,1298,85.8,5,340000,13600.0,media
Ford Ecosport,Ford,Ecosport,3,55000,particular,Diesel,Manual,23.0,1498,98.96,5,925000,37000.0,media
Hyundai Grand,Hyundai,Grand,6,36000,distribuidor,Petrol,Manual,18.9,1197,82.0,5,400000,16000.0,media
Hyundai Xcent,Hyundai,Xcent,2,35000,particular,Diesel,Manual,25.4,1186,73.97,5,560000,22400.0,media
Honda City,Honda,City,5,49625,distribuidor,Petrol,Manual,17.8,1497,117.3,5,725000,29000.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,7,35000,particular,Diesel,Manual,23.4,1248,74.0,5,600000,24000.0,media
Mahindra Scorpio,Mahindra,Scorpio,8,95000,particular,Diesel,Manual,12.05,2179,120.0,8,550000,22000.0,grande
Ford Aspire,Ford,Aspire,4,36000,distribuidor,Diesel,Manual,25.83,1498,99.0,5,585000,23400.0,media
Maruti Wagon R,Maruti,Wagon R,2,50000,particular,Petrol,Manual,21.79,998,67.05,5,411000,16440.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,6,26500,particular,Petrol,Manual,20.85,1197,83.14,5,450000,18000.0,media
Honda CR-V,Honda,CR-V,6,80000,distribuidor,Petrol,Automatic,13.7,1997,153.86,5,1290000,51600.0,media
Volkswagen Polo,Volkswagen,Polo,6,46000,distribuidor,Petrol,Manual,16.47,1198,74.0,5,455000,18200.0,media
Hyundai Grand,Hyundai,Grand,2,9000,particular,Petrol,Manual,20.7,1197,81.86,5,710000,28400.0,media
Mahindra TUV,Mahindra,TUV,5,70000,particular,Diesel,Manual,18.49,1493,100.0,7,450000,18000.0,grande
Toyota Etios,Toyota,Etios,6,33000,distribuidor,Petrol,Manual,17.71,1197,78.9,5,465000,18600.0,media
Honda City,Honda,City,5,53000,distribuidor,Petrol,Manual,16.8,1497,116.3,5,770000,30800.0,media
Ford Endeavour,Ford,Endeavour,3,11387,particular,Diesel,Automatic,10.91,3198,197.0,7,2900000,116000.0,grande
Honda Amaze,Honda,Amaze,3,50000,particular,Diesel,Manual,25.8,1498,98.6,5,720000,28800.0,media
Mahindra KUV,Mahindra,KUV,5,52000,distribuidor,Diesel,Manual,25.32,1198,77.0,5,375000,15000.0,media
Chevrolet Aveo,Chevrolet,Aveo,11,60000,particular,Petrol,Manual,14.49,1399,92.7,5,145000,5800.0,media
Datsun GO,Datsun,GO,6,35000,particular,Petrol,Manual,19.44,1198,67.0,7,400000,16000.0,grande
Renault Duster,Renault,Duster,6,48000,particular,Diesel,Manual,19.87,1461,83.8,5,600000,24000.0,media
Honda Jazz,Honda,Jazz,3,18000,particular,Petrol,Manual,18.7,1199,88.7,5,600000,24000.0,media
Maruti Wagon R,Maruti,Wagon R,9,57413,particular,LPG,Manual,14.4,998,61.7,5,270000,10800.0,media
Hyundai i20,Hyundai,i20,6,30000,particular,Petrol,Manual,18.6,1197,81.83,5,500000,20000.0,media
Hyundai Verna,Hyundai,Verna,6,55000,distribuidor,Diesel,Manual,23.9,1582,126.2,5,650000,26000.0,media
Chevrolet Sail,Chevrolet,Sail,6,120000,particular,Petrol,Manual,18.2,1199,82.4,5,380000,15200.0,media
Mitsubishi Pajero,Mitsubishi,Pajero,9,165000,particular,Diesel,Manual,13.5,2477,175.56,7,728000,29120.0,grande
Maruti Swift,Maruti,Swift,3,10000,particular,Petrol,Automatic,21.21,1197,81.8,5,660000,26400.0,media
BMW 3,BMW,3,5,68000,distribuidor,Diesel,Automatic,22.69,1995,190.0,5,2090000,83600.0,media
Chevrolet Beat,Chevrolet,Beat,6,55000,distribuidor,Diesel,Manual,25.44,936,56.3,5,250000,10000.0,media
Kia Seltos,Kia,Seltos,1,8000,distribuidor,Petrol,Manual,16.8,1497,113.4,5,1275000,51000.0,media
Toyota Corolla,Toyota,Corolla,9,80000,distribuidor,Petrol,Manual,14.53,1798,138.1,5,455000,18200.0,media
Maruti Swift,Maruti,Swift,6,65000,distribuidor,Diesel,Manual,28.4,1248,74.0,5,495000,19800.0,media
Maruti Ritz,Maruti,Ritz,11,47000,particular,Petrol,Manual,21.1,1197,85.8,5,220000,8800.0,media
Maruti S-Cross,Maruti,S-Cross,3,185000,particular,Diesel,Manual,25.1,1248,88.5,5,800000,32000.0,media
Hyundai Santa,Hyundai,Santa,7,68000,distribuidor,Diesel,Automatic,13.01,2199,194.3,7,1295000,51800.0,grande
Hyundai Grand,Hyundai,Grand,5,25000,particular,Petrol,Manual,18.9,1197,82.0,5,475000,19000.0,media
Maruti S-Cross,Maruti,S-Cross,3,7791,particular,Diesel,Manual,25.1,1248,88.5,5,900000,36000.0,media
Maruti Ciaz,Maruti,Ciaz,6,70000,particular,Petrol,Manual,20.73,1373,91.1,5,530000,21200.0,media
Hyundai Verna,Hyundai,Verna,6,9100,particular,Petrol,Manual,17.01,1591,121.3,5,650000,26000.0,media
Honda Accord,Honda,Accord,11,82000,distribuidor,Petrol,Manual,12.8,2354,177.6,5,495000,19800.0,media
Honda City,Honda,City,11,86000,distribuidor,Petrol,Manual,17.0,1497,118.0,5,335000,13400.0,media
Audi Q5,Audi,Q5,1,19000,distribuidor,Diesel,Automatic,17.01,1968,188.0,5,4675000,187000.0,media
Audi A4,Audi,A4,8,78000,distribuidor,Diesel,Automatic,16.55,1968,147.51,5,1290000,51600.0,media
Ford Figo,Ford,Figo,10,60000,particular,Diesel,Manual,20.0,1399,68.0,5,300000,12000.0,media
Maruti Wagon R,Maruti,Wagon R,2,7883,distribuidor confiável,Petrol,Automatic,21.5,1197,81.8,5,550000,22000.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,8,50205,distribuidor confiável,Diesel,Manual,23.4,1248,74.0,5,390000,15600.0,media
Mahindra Bolero,Mahindra,Bolero,13,220000,particular,Diesel,Manual,13.6,2523,63.0,7,260000,10400.0,grande
Mahindra Scorpio,Mahindra,Scorpio,9,170000,particular,Diesel,Manual,12.05,2179,120.0,8,550000,22000.0,grande
Maruti Swift Dzire,Maruti,Swift Dzire,3,15000,particular,Petrol,Manual,22.0,1197,81.8,5,650000,26000.0,media
Maruti Swift,Maruti,Swift,5,71245,distribuidor,Diesel,Manual,28.4,1248,74.0,5,375000,15000.0,media
Toyota Etios,Toyota,Etios,5,52000,distribuidor,Petrol,Manual,16.78,1496,88.73,5,450000,18000.0,media
Honda Brio,Honda,Brio,6,61000,particular,Petrol,Manual,19.4,1198,86.8,5,335000,13400.0,media
Kia Seltos,Kia,Seltos,2,7000,particular,Petrol,Manual,16.1,1353,138.0,5,1300000,52000.0,media
Maruti Alto,Maruti,Alto,3,20000,particular,Petrol,Manual,23.95,998,67.05,5,360000,14400.0,media
Maruti Celerio,Maruti,Celerio,1,8700,particular,Petrol,Manual,21.63,998,67.04,5,505000,20200.0,media
Maruti Alto,Maruti,Alto,2,25000,particular,Petrol,Manual,24.7,796,47.3,5,310000,12400.0,media
Hyundai i20,Hyundai,i20,6,42000,distribuidor,Petrol,Manual,18.6,1197,81.86,5,545000,21800.0,media
Mahindra Xylo,Mahindra,Xylo,12,120000,particular,Diesel,Manual,14.0,2498,112.0,7,300000,12000.0,grande
Chevrolet Aveo,Chevrolet,Aveo,12,60000,particular,Petrol,Manual,14.4,1399,94.0,5,200000,8000.0,media
Mahindra Bolero,Mahindra,Bolero,15,120000,particular,Diesel,Manual,13.6,2523,63.0,7,150000,6000.0,grande
Maruti Baleno,Maruti,Baleno,3,50000,particular,Petrol,Manual,21.4,1197,83.1,5,580000,23200.0,media
Maruti Wagon R,Maruti,Wagon R,10,58000,particular,Petrol,Manual,18.9,998,67.1,5,250000,10000.0,media
Hyundai Verna,Hyundai,Verna,4,36000,particular,Petrol,Manual,17.43,1396,105.5,5,650000,26000.0,media
Maruti SX4,Maruti,SX4,5,80000,particular,Diesel,Manual,23.65,1248,88.5,5,800000,32000.0,media
Audi Q3,Audi,Q3,8,71000,distribuidor,Diesel,Automatic,15.73,1968,174.33,5,1475000,59000.0,media
Maruti Ertiga,Maruti,Ertiga,3,30000,particular,Diesel,Manual,25.47,1248,88.5,7,410000,16400.0,grande
Ford Ecosport,Ford,Ecosport,6,162828,distribuidor,Diesel,Manual,22.77,1498,98.59,5,531000,21240.0,media
Ford Ecosport,Ford,Ecosport,3,7500,particular,Diesel,Manual,23.0,1498,98.96,5,890000,35600.0,media
Maruti Wagon R,Maruti,Wagon R,3,52000,distribuidor,CNG,Manual,33.54,998,67.04,5,435000,17400.0,media
Ford Figo,Ford,Figo,9,74000,distribuidor,Diesel,Manual,20.0,1399,68.05,5,185000,7400.0,media
Mahindra Bolero,Mahindra,Bolero,10,47000,distribuidor,Diesel,Manual,15.96,2523,62.1,7,440000,17600.0,grande
Hyundai i20,Hyundai,i20,6,50000,particular,Petrol,Manual,18.6,1197,81.83,5,450000,18000.0,media
Maruti Baleno,Maruti,Baleno,4,100000,particular,Petrol,Manual,21.4,1197,83.1,5,600000,24000.0,media
Maruti Celerio,Maruti,Celerio,7,35000,particular,Petrol,Manual,23.1,998,67.04,5,320000,12800.0,media
Hyundai i20,Hyundai,i20,5,50000,particular,Diesel,Manual,21.19,1396,88.73,5,700000,28000.0,media
Ford Aspire,Ford,Aspire,3,10000,particular,Petrol,Manual,18.16,1196,86.8,5,630000,25200.0,media
Maruti Alto,Maruti,Alto,5,10370,particular,Petrol,Manual,22.74,796,47.3,5,320000,12800.0,media
Honda City,Honda,City,8,62000,distribuidor,Petrol,Manual,16.8,1497,116.3,5,465000,18600.0,media
Nissan Sunny,Nissan,Sunny,8,250000,particular,Diesel,Manual,21.64,1461,84.8,5,370000,14800.0,media
Hyundai i20,Hyundai,i20,5,40000,particular,Petrol,Manual,18.6,1197,81.83,5,550000,22000.0,media
Maruti Swift,Maruti,Swift,4,60000,particular,Petrol,Manual,22.0,1197,81.8,5,445000,17800.0,media
Maruti Wagon R,Maruti,Wagon R,8,64000,distribuidor,CNG,Manual,33.54,998,67.04,5,270000,10800.0,media
Nissan Micra,Nissan,Micra,9,142587,distribuidor,Diesel,Manual,23.08,1461,63.1,5,420000,16800.0,media
Honda City,Honda,City,7,63000,distribuidor,Diesel,Manual,26.0,1498,98.6,5,475000,19000.0,media
Toyota Fortuner,Toyota,Fortuner,6,80000,particular,Diesel,Manual,12.55,2982,168.5,7,1755000,70200.0,grande
Honda City,Honda,City,10,55000,distribuidor,Petrol,Manual,16.9,1497,100.0,5,350000,14000.0,media
Hyundai i20,Hyundai,i20,5,11000,distribuidor,Petrol,Manual,18.6,1197,81.83,5,575000,23000.0,media
Toyota Etios,Toyota,Etios,5,66000,distribuidor,Diesel,Manual,23.59,1364,67.06,5,466000,18640.0,media
